ISBN13,Role,Name
9780141345871,By (author),Rick Yancey
9780141346090,By (author),John Green
9780141346113,By (author),John Green
9780141346113,", By (author)",David Levithan
9780141346816,By (author),Rick Riordan
9780141346830,By (author),Rick Riordan
9780141346847,By (author),Rick Riordan
9780141346885,By (author),Rick Riordan
9780141348452,By (author),Rebecca Donovan
9780141348469,By (author),Rebecca Donovan
9780141348568,By (author),Jeff Kinney
9780141350776,By (author),Roald Dahl
9780141350868,By (author),Sally Green
9780141350882,By (author),Sally Green
9780141350905,By (author),Sally Green
9780141352022,By (author),Rick Riordan
9780141352442,By (author),Claire Taylor-Smith
9780141352633,By (author),Tove Jansson
9780141352831,By (author),Jeff Kinney
9780141352831,", Read by",Dan Russell
9780141353074,By (author),Jeff Kinney
9780141354224,By (author),Jeff Kinney
9780141354828,By (author),E. B. White
9780141354828,", Illustrated by",Garth Williams
9780141354835,By (author),E. B. White
9780141354842,By (author),E. B. White
9780141354910,By (author),Ursula Le Guin
9780141354927,By (author),Robert C. O'Brien
9780141354934,By (author),Madeleine L'Engle
9780141355078,By (author),John Green
9780141355207,By (author),Rick Riordan
9780141356099,By (author),Becky Albertalli
9780141357027,By (author),Jeff Kinney
9780141357034,By (author),Jennifer Niven
9780141357270,By (author),Zoe Sugg
9780141359786,By (author),Katherine Paterson
9780141361796,By (author),B. J. Novak
9780141362250,By (author),Rick Riordan
9780141362434,By (author),Eric Hill
9780141364018,By (author),Rick Riordan
9780141364056,By (author),Rick Riordan
9780141365411,By (author),Roald Dahl
9780141365411,", Illustrated by",Quentin Blake
9780141365428,By (author),Roald Dahl
9780141365428,", Illustrated by",Quentin Blake
9780141365459,By (author),Roald Dahl
9780141365459,", Illustrated by",Quentin Blake
9780141365466,By (author),Roald Dahl
9780141365466,", Illustrated by",Quentin Blake
9780141366302,By (author),Jonathan Swift
9780141368627,By (author),Scott O'Dell
9780141368887,By (author),S E Hinton
9780141369143,By (author),Puffin
9780141369334,By (author),Roald Dahl
9780141369334,", Illustrated by",Quentin Blake
9780141369365,By (author),Roald Dahl
9780141369365,", Illustrated by",Quentin Blake
9780141370538,By (author),Ursula Le Guin
9780141372563,By (author),Dan Brown
9780141373027,By (author),Jeff Kinney
9780141374185,By (author),Matt De la Pena
9780141374185,", Illustrated by",Christian Robinson
9780141374376,By (author),Eric Carle
9780141374758,By (author),Beatrix Potter
9780141375519,By (author),Michael Whaite
9780141375632,By (author),Karen M. McManus
9780141375984,By (author),Eric Hill
9780141376363,By (author),Ed Vere
