ISBN13,Role,Name
9781401249274,By (author),Scott Snyder
9781401249274,", By (author)",Greg Capullo
9781401249335,By (author),Scott Snyder
9781401249335,", Illustrated by",Greg Capullo
9781401251789,By (author),Gardner Fox
9781401251789,", By (author)",Geoff Johns
9781401251789,", Illustrated by",Carmine Infantino
9781401267308,By (author),Various
9781401267308,", Illustrated by",Lea Hernandez
9781401267650,By (author),Sholly Fisch
9781401267650,", Illustrated by",Lea Hernandez
9781401271473,By (author),Scott Snyder
9781401271473,", Illustrated by",Greg Capullo
9781401273743,By (author),Various
9781401278731,By (author),Sholly Fisch
9781401284770,By (author),Neil Gaiman
9781401284770,", By (author)",Sam Kieth
9781401297244,By (author),Jeph Loeb
9781402259340,By (author),Francesca Simon
9781402259340,", Illustrated by",Tony Ross
9781402279959,By (author),Francesca Simon
9781402279959,", Illustrated by",Tony Ross
9781402754227,Abridged by,Eva Mason
9781402754227,", By (author)",Lewis Carroll
9781402754227,", Afterword by",Arthur Pober
9781402754227,", Illustrated by",Dan Andreasen
9781402789557,By (author),Salina Yoon
9781402789564,By (author),Salina Yoon
9781402797187,By (author),Eleanor H. Porter
9781402797187,", Afterword by",Arthur Pober
9781402797187,", Illustrated by",Scott McKowen
9781402798894,By (author),Inc. Sterling Publishing Co.
9781402798931,By (author),Inc. Sterling Publishing Co.
9781404860568,By (author),Fran Manushkin
9781405009126,By (author),Julia Donaldson
9781405009126,", Illustrated by",Axel Scheffler
9781405020480,By (author),Julia Donaldson
9781405020480,", Illustrated by",Lydia Monks
9781405021661,By (author),Julia Donaldson
9781405021661,", Illustrated by",Nick Sharratt
9781405021906,By (author),Julia Donaldson
9781405021906,", Illustrated by",Nick Sharratt
9781405090285,By (author),Chris Riddell
9781405090766,By (author),Julia Donaldson
9781405090766,", Illustrated by",Lydia Monks
9781405206143,By (author),Herge
9781405206174,By (author),Herge
9781405206181,By (author),Herge
9781405206198,By (author),Herge
9781405206204,By (author),Herge
9781405206228,By (author),Herge
9781405206235,By (author),Herge
9781405206242,By (author),Herge
9781405206259,By (author),Herge
9781405206266,By (author),Herge
9781405206273,By (author),Herge
9781405206280,By (author),Herge
9781405206297,By (author),Herge
9781405206303,By (author),Herge
9781405206310,By (author),Herge
9781405206327,By (author),Herge
9781405206334,By (author),Herge
9781405206358,By (author),Herge
9781405216340,By (author),Antoine de Saint-Exupery
9781405223102,By (author),Andy Stanton
9781405223102,", Illustrated by",David Tazzyman
9781405224086,By (author),Enid Blyton
9781405229272,By (author),Michael Morpurgo
9781405230384,By (author),Pamela Cox
9781405230384,", Other",Enid Blyton
9781405238182,By (author),Jean de Brunhoff
9781405239585,By (author),Enid Blyton
9781405239585,", Cover design or artwork by",Mark Beech
9781405241793,By (author),Andy Stanton
9781405241793,", Illustrated by",David Tazzyman
9781405244732,By (author),Pamela Cox
9781405244732,", Original author",Enid Blyton
9781405244763,By (author),Enid Blyton
9781405254311,By (author),Michael Grant
9781405255493,By (author),A. A. Milne
9781405255493,", Illustrated by",E. H. Shepard
9781405266062,By (author),Lemony Snicket
9781405266079,By (author),Lemony Snicket
9781405266086,By (author),Lemony Snicket
9781405266093,By (author),Lemony Snicket
9781405266109,By (author),Lemony Snicket
9781405266116,By (author),Lemony Snicket
9781405266123,By (author),Lemony Snicket
9781405266130,By (author),Lemony Snicket
9781405266147,By (author),Lemony Snicket
9781405266154,By (author),Lemony Snicket
9781405266161,By (author),Lemony Snicket
9781405266161,", Illustrated by",Brett Helquist
9781405266178,By (author),Lemony Snicket
9781405266178,", Illustrated by",Brett Helquist
9781405266185,By (author),Lemony Snicket
9781405266512,By (author),Herge
9781405268035,By (author),Jim Smith
9781405270038,By (author),Enid Blyton
9781405270168,By (author),Enid Blyton
9781405272193,By (author),Enid Blyton
9781405272438,By (author),Rachel Cohn
9781405272438,", By (author)",David Levithan
9781405272735,By (author),Enid Blyton
9781405272926,By (author),Enid Blyton
9781405275699,By (author),Enid Blyton
9781405276580,By (author),Farshore
9781405277051,By (author),Michael Grant
9781405277075,By (author),Michael Grant
9781405277082,By (author),Michael Grant
9781405279543,By (author),No Author
9781405279826,By (author),Rev. W. Awdry
9781405280334,By (author),Thomas & Friends
9781405280808,By (author),Farshore
9781405282406,By (author),Julia Donaldson
9781405282406,", Illustrated by",Lucy Richards
9781405284240,By (author),Sam Watkins
9781405284240,", Illustrated by",Vicky Barker
9781405284936,By (author),Malcolm Rose
9781405284936,", Illustrated by",Sean Sims
9781405287234,By (author),Alan MacDonald
9781405287234,", Illustrated by",Sarah Horne
9781405287708,By (author),Farshore
9781405288101,By (author),Jeff Brown
9781405288101,", Illustrated by",Rob Biddulph
9781405290203,By (author),Adam Hargreaves
9781405290265,By (author),Adam Hargreaves
9781405290524,By (author),Adam Hargreaves
9781405290692,By (author),Adam Hargreaves
9781405290708,By (author),Adam Hargreaves
9781405290777,By (author),Adam Hargreaves
9781405290777,", By (author)",Roger Hargreaves
9781405290876,By (author),Adam Hargreaves
9781405291460,By (author),Elizabeth Acevedo
9781405291767,By (author),Tahereh Mafi
9781405291798,By (author),Tahereh Mafi
9781405293181,By (author),Holly Jackson
9781405293747,By (author),Andy Stanton
9781405293747,", Illustrated by",David Tazzyman
9781405293785,By (author),Benjamin Hoff
9781405293785,", Illustrated by",E. H. Shepard
9781405293860,By (author),Lisa Heathfield
9781405294614,By (author),Farshore
9781405294614,", Illustrated by",Dan Crisp
9781405295093,By (author),Max Brallier
9781405295093,", Illustrated by",Douglas Holgate
9781405295116,By (author),Max Brallier
9781405295116,", Illustrated by",Douglas Holgate
9781405296892,By (author),Julia Donaldson
9781405296892,", Illustrated by",Sebastien Braun
9781405297042,By (author),Tahereh Mafi
9781405297189,By (author),Pip Bird
9781405297189,", Illustrated by",David O'Connell
9781405297202,By (author),Pip Bird
9781405297202,", Illustrated by",David O'Connell
9781405297714,By (author),Tahereh Mafi
9781405297752,By (author),Holly Jackson
9781405298193,By (author),BB Alston
9781405329149,By (author),DK
9781405347426,By (author),Dk
9781405903752,By (author),In the Night Garden
9781405908191,By (author),In the Night Garden
9781405913645,By (author),Pittacus Lore
9781406301229,By (author),Petr Horacek
9781406302165,By (author),McDonald Megan
9781406302165,", By (author)",Reynolds Peter H
9781406305760,By (author),Anthony Browne
9781406306880,By (author),Lucy Cousins
9781406307627,By (author),Cassandra Clare
9781406307634,By (author),Cassandra Clare
9781406307641,By (author),CASSANDRA CLARE
9781406313970,By (author),Margret and H.A. Rey
9781406314069,By (author),H. A. Rey
9781406314069,", By (author)",Margret Rey
9781406314595,By (author),Tanya Landman
9781406319606,By (author),Lucy Cousins
9781406326499,By (author),Jandy Nelson
9781406327434,By (author),Megan McDonald
9781406327434,", Illustrated by",Peter H. Reynolds
9781406330335,By (author),Cassandra Clare
9781406330342,By (author),Cassandra Clare
9781406331042,By (author),Lucy Cousins
9781406331264,By (author),Mem Fox
9781406331264,", Illustrated by",Helen Oxenbury
9781406331851,By (author),Nick Sharratt
9781406332254,By (author),Chris Haughton
9781406334722,By (author),Lucy Cousins
9781406334760,By (author),Lucy Cousins
9781406335835,By (author),Megan McDonald
9781406335835,", Illustrated by",Peter H. Reynolds
9781406335859,By (author),Megan McDonald
9781406335859,", Illustrated by",Peter H. Reynolds
9781406336818,By (author),Dyan Sheldon
9781406337600,By (author),Cassandra Clare
9781406338478,By (author),Mo Willems
9781406338539,By (author),Jon Klassen
9781406345209,By (author),M. T. Anderson
9781406345339,By (author),Anthony Browne
9781406347517,By (author),Jon Klassen
9781406350487,By (author),Patrick Ness
9781406357912,By (author),Chris Haughton
9781406358094,By (author),Cassandra Clare
9781406358100,By (author),Cassandra Clare
9781406358780,By (author),Sam McBratney
9781406358780,", Illustrated by",Anita Jeram
9781406358988,By (author),Alison Goodman
9781406360196,By (author),Anthony Horowitz
9781406361803,By (author),Patrick Ness
9781406361803,", By (author)",Siobhan Dowd
9781406362169,By (author),Cassandra Clare
9781406364835,By (author),Anthony Horowitz
9781406365160,By (author),Atinuke
9781406365160,", Illustrated by",Angela Brooksbank
9781406365856,By (author),Patrick Ness
9781406365856,", By (author)",Siobhan Dowd
9781406366846,By (author),Young Rewired State
9781406366846,", Illustrated by",Duncan Beedie
9781406366907,By (author),Eileen Browne
9781406367744,By (author),Mal Peet
9781406369052,By (author),Katherine Webber
9781406372151,By (author),Angie Thomas
9781406372168,By (author),Angie Thomas
9781406373509,By (author),Leslye Walton
9781406373509,", Cover design or artwork by",ANA SENDER QUINTANA
9781406373585,By (author),Cassandra Clare
9781406373585,", By (author)",Sarah Rees Brennan
9781406373585,", By (author)",Maureen Johnson
9781406373585,", By (author)",Robin Wasserman
9781406375510,By (author),Lauren James
9781406376524,By (author),Patrick Ness
9781406376760,By (author),Nelson Jandy
9781406377071,By (author),Lucy Cousins
9781406377279,By (author),Patrick Ness
9781406377576,By (author),Eoin Colfer
9781406377576,", Illustrated by",P.J. Lynch
9781406378177,By (author),Tom Pollock
9781406378177,", Cover design or artwork by",Peter Strain
9781406378238,By (author),Ann Stott
9781406378238,", Illustrated by",Bob Graham
9781406379167,By (author),Patrick Ness
9781406379174,By (author),Patrick Ness
9781406379181,By (author),Patrick Ness
9781406379532,By (author),Neal Shusterman
9781406379778,By (author),Patricia Toht
9781406379778,", Illustrated by",Jarvis
9781406380873,By (author),Gaia Cornwall
9781406382372,By (author),Helen Oxenbury
9781406383546,By (author),Zoe Marriott
9781406384444,By (author),Angie Thomas
9781406385366,By (author),Cassandra Clare
9781406385366,", By (author)",Sarah Rees Brennan
9781406385366,", By (author)",Maureen Johnson
9781406385366,", By (author)",Robin Wasserman
9781406385366,", By (author)",Kelly Link
9781406385670,By (author),Neal Shusterman
9781406386370,By (author),gal-dem
9781406386738,By (author),Jill Murphy
9781406386851,By (author),Neal Shusterman
9781406386851,", By (author)",Jarrod Shusterman
9781406387032,By (author),Sarah Epstein
9781406387162,By (author),Angie Thomas
9781406388534,By (author),Sophia Thakur
9781406390377,By (author),Mac Barnett
9781406390377,", Illustrated by",Jon Klassen
9781406390599,By (author),Kate Alice Marshall
9781406391121,By (author),Lauren James
9781406392814,By (author),Angie Thomas
9781406393057,By (author),Matt Tavares
9781406393156,By (author),Cassandra Clare
9781406393323,By (author),Patrick Ness
9781406395310,By (author),Amy Sparkes
9781406396119,By (author),Neal Shusterman
9781406396119,", Cover design or artwork by",Jon Gray
9781406398472,By (author),Cassandra Clare
9781407103488,By (author),Brian Selznick
9781407132105,By (author),Suzanne Collins
9781407132747,By (author),Dav Pilkey
9781407134680,By (author),Dav Pilkey
9781407138091,By (author),Anne Cassidy
9781407157030,By (author),Dav Pilkey
9781407157283,By (author),R.L. Stine
9781407157320,By (author),R.L. Stine
9781407157641,By (author),Julia Donaldson
9781407157641,", Illustrated by",Axel Scheffler
9781407157986,By (author),Jenny Han
9781407162614,By (author),Scholastic
9781407165844,By (author),Scholastic
9781407168371,By (author),Scholastic
9781407179674,By (author),Hayley Barker
9781407181127,By (author),PICHON LIZ
9781407184326,By (author),Alan Gratz
9781407184630,By (author),Julia Donaldson
9781407184630,", Illustrated by",Axel Scheffler
9781407186108,By (author),Philip Pullman
9781407186108,", Illustrated by",Chris Wormell
9781407198903,By (author),Sarah Rees Brennan
9781407589152,By (author),Parragon Books Ltd
9781407589374,By (author),Parragon Books Ltd
9781408114612,By (author),Peter Davey
9781408114612,", Prepared for publication by",Collins Music
9781408162583,By (author),Andrew Brodie
9781408300046,By (author),Lauren Child
9781408303788,By (author),Adam Blade
9781408303801,By (author),Adam Blade
9781408304419,By (author),Adam Blade
9781408318485,By (author),Adam Blade
9781408323359,By (author),Rosie Banks
9781408323663,By (author),Rosie Banks
9781408323779,By (author),Rosie Banks
9781408323786,By (author),Rosie Banks
9781408323809,By (author),Rosie Banks
9781408324264,By (author),Thomas Rockwell
9781408326268,By (author),Daisy Meadows
9781408326299,By (author),Daisy Meadows
9781408329184,By (author),Rosie Banks
9781408329368,By (author),Giles Andreae
9781408329368,", Illustrated by",David Wojtowycz
9781408330043,By (author),Giles Andreae
9781408330043,", Illustrated by",Guy Parker-Rees
9781408331941,By (author),James Mayhew
9781408333051,By (author),Rosie Banks
9781408333082,By (author),Rosie Banks
9781408337295,By (author),Matt Robertson
9781408339657,By (author),Giles Andreae
9781408339657,", Illustrated by",David Wojtowycz
9781408340479,By (author),Rachel Bright
9781408340479,", Illustrated by",Jim Field
9781408341889,By (author),Giles Andreae
9781408341889,", Illustrated by",David Wojtowycz
9781408345610,By (author),Giles Andreae
9781408345610,", Illustrated by",Emma Dodd
9781408346457,By (author),Mike Brownlow
9781408346457,", Illustrated by",Simon Rickerty
9781408346488,By (author),Mike Brownlow
9781408346488,", Illustrated by",Simon Rickerty
9781408349045,By (author),Rachel Bright
9781408349045,", Illustrated by",Jim Field
9781408349212,By (author),Rachel Bright
9781408349212,", Illustrated by",Jim Field
9781408349953,By (author),Pokemon
9781408350737,By (author),Daisy Meadows
9781408351833,By (author),Pokemon
9781408351857,By (author),Pokemon
9781408351864,By (author),Pokemon
9781408352144,By (author),Pokemon
9781408352366,By (author),Pokemon
9781408354407,By (author),Giles Andreae
9781408354407,", Illustrated by",Guy Parker-Rees
9781408354421,By (author),Giles Andreae
9781408354421,", Illustrated by",Guy Parker-Rees
9781408354735,By (author),Pokemon
9781408356159,By (author),Rachel Bright
9781408356159,", Illustrated by",Chris Chatterton
9781408359495,By (author),Giles Andreae
9781408359495,", Illustrated by",Guy Parker-Rees
9781408361795,By (author),Giles Andreae
9781408361795,", Illustrated by",David Wojtowycz
9781408362488,By (author),Giles Andreae
9781408362488,", Illustrated by",Emma Dodd
9781408708989,By (author),J. K. Rowling
9781408802656,By (author),Camilla Reid
9781408802656,", Illustrated by",Ailie Busby
9781408818442,By (author),Alan Brown
9781408818442,", Illustrated by",Barbara Vagnozzi
9781408836781,By (author),Rachel Valentine
9781408836781,", Illustrated by",Ed Eaves
9781408836972,By (author),Yasmeen Ismail
9781408839508,By (author),Debi Gliori
9781408839669,By (author),Paula Bowles
9781408841754,By (author),Neil Gaiman
9781408841754,", Illustrated by",Chris Riddell
9781408843130,By (author),Emily MacKenzie
9781408845516,By (author),Rosie Reeve
9781408845646,By (author),J. K. Rowling
9781408845646,", Illustrated by",Jim Kay
9781408845660,By (author),J. K. Rowling
9781408845660,", Illustrated by",Jim Kay
9781408845677,By (author),J. K. Rowling
9781408845677,", Illustrated by",Jim Kay
9781408847299,Illustrated by,Andy Rowland
9781408848180,By (author),John Green
9781408849828,By (author),Patricia Cleveland-Peck
9781408849828,", Illustrated by",David Tazzyman
9781408855195,Illustrated by,Lesley Grainger
9781408855225,Illustrated by,Zoe Waring
9781408855669,By (author),J. K. Rowling
9781408855676,By (author),J. K. Rowling
9781408855683,By (author),J. K. Rowling
9781408855690,By (author),J. K. Rowling
9781408855706,By (author),J. K. Rowling
9781408855898,By (author),J. K. Rowling
9781408856772,By (author),J. K. Rowling
9781408858516,By (author),Paul Dowswell
9781408859650,By (author),Neil Gaiman
9781408859650,", Illustrated by",Chris Riddell
9781408865255,By (author),John Green
9781408870082,By (author),Emery Lord
9781408872482,By (author),Rose Impey
9781408872482,", Illustrated by",Chris Chatterton
9781408877814,By (author),Emery Lord
9781408880715,By (author),J. K. Rowling
9781408883525,By (author),Brigid Kemmerer
9781408883808,By (author),J. K. Rowling
9781408896945,By (author),J. K. Rowling
9781408898093,By (author),J.K. Rowling
9781409150725,By (author),Victoria Aveyard
9781409150749,By (author),Victoria Aveyard
9781409157250,By (author),Rainbow Rowell
9781409186069,By (author),Michael Connelly
9781409193975,By (author),Victoria Aveyard
9781409300564,By (author),Jean Adamson
9781409300564,", Illustrated by",Belinda Worsley
9781409300571,By (author),Jean Adamson
9781409300571,", Illustrated by",Belinda Worsley
9781409300601,By (author),Jean Adamson
9781409300601,", Illustrated by",Belinda Worsley
9781409302193,By (author),Andrea Pinnington
9781409302209,By (author),Andrea Pinnington
9781409304616,By (author),Peppa Pig
9781409305156,By (author),Ladybird
9781409306283,By (author),Ladybird
9781409306283,", By (author)",Lorna Read
9781409306283,", Illustrated by",Jan Lewis
9781409306290,By (author),Nicola Baxter
9781409306313,By (author),Mandy Ross
9781409306337,By (author),Irene Yates
9781409306337,", By (author)",Ladybird
9781409306689,By (author),Justine Smith
9781409308829,By (author),Jean Adamson
9781409308836,By (author),Jean Adamson
9781409308836,", Illustrated by",Belinda Worsley
9781409309062,By (author),Collectif
9781409309468,By (author),Jean Adamson
9781409309468,", Illustrated by",Belinda Worsley
9781409309567,By (author),Mandy Ross
9781409309574,By (author),Irene Yates
9781409309598,By (author),Iona Treahy
9781409311133,By (author),Vera Southgate
9781409311249,By (author),Anna Sewell
9781409311249,", Illustrated by",Kasia Matyjaszek
9781409311744,By (author),Fiona Munro
9781409311744,", Illustrated by",Sharon Harmer
9781409313731,By (author),Amanda Li
9781409343479,By (author),B.K.S. Iyengar
9781409343981,By (author),DK
9781409344650,By (author),Carol Vorderman
9781409344735,By (author),Carol Vorderman
9781409344773,By (author),Carol Vorderman
9781409344780,By (author),Carol Vorderman
9781409344797,By (author),Carol Vorderman
9781409344803,By (author),Carol Vorderman
9781409349433,By (author),Carol Vorderman
9781409349457,By (author),Carol Vorderman
9781409376019,By (author),DK
9781409376033,By (author),DK
9781409383024,By (author),DK
9781409507024,By (author),Jenny Tyler
9781409507024,", Illustrated by",Various
9781409507895,By (author),Felicity Brooks
9781409507895,", Illustrated by",Giuliana Gregori
9781409514244,By (author),Emily Bone
9781409514244,", Illustrated by",Terry Pastor
9781409516606,By (author),Mairi Mackinnon
9781409516606,", Illustrated by",Carl Gordon
9781409516606,", Illustrated by",Mike Gordon
9781409516613,By (author),Mairi Mackinnon
9781409516613,", Illustrated by",Steve Simpson
9781409516637,By (author),Mairi Mackinnon
9781409516637,", Illustrated by",Carl Gordon
9781409516637,", Illustrated by",Mike Gordon
9781409516644,By (author),Mairi Mackinnon
9781409516644,", Illustrated by",Fred Blunt
9781409516651,By (author),Lesley Sims
9781409516651,", Illustrated by",David Semple
9781409516668,By (author),Mairi Mackinnon
9781409516668,", Illustrated by",Lee Wildish
9781409516675,By (author),Mairi Mackinnon
9781409516675,", Illustrated by",Ben Mantle
9781409520139,By (author),Mairi Mackinnon
9781409520139,", Illustrated by",Fred Blunt
9781409520146,By (author),Mairi Mackinnon
9781409520146,", Illustrated by",Mark Chambers
9781409520160,By (author),Mairi Mackinnon
9781409520160,", Illustrated by",Fred Blunt
9781409523352,By (author),Louie Stowell
9781409523352,", Illustrated by",Katie Lovell
9781409523932,By (author),Usborne
9781409523932,", Illustrated by",Stella Baggott
9781409524519,By (author),Jessica Greenwell
9781409524519,", Illustrated by",Stacey Lamb
9781409524632,By (author),Sam Taplin
9781409524632,", Illustrated by",Ag Jatkowska
9781409530879,By (author),Anna Milbourne
9781409537076,Illustrated by,Stella Baggott
9781409539506,By (author),Rob Lloyd Jones
9781409539506,", Illustrated by",Stefano Tognetti
9781409549772,By (author),Various
9781409549772,", Illustrated by",Andy Tudor
9781409549796,By (author),Alex Frith
9781409549796,", By (author)",Sarah Courtauld
9781409549796,", Illustrated by",Peter Allen
9781409549833,By (author),Fiona Watt
9781409549833,", Illustrated by",Rachel Wells
9781409550297,By (author),Fiona Watt
9781409550297,", Illustrated by",Caroline Ryder
9781409550297,", Illustrated by",Josephine Thompson
9781409551287,By (author),Minna Lacey
9781409555797,By (author),Alex Frith
9781409555810,By (author),Russell Punter
9781409555810,", Illustrated by",Lorena Alvarez
9781409555827,By (author),Rosie Dickins
9781409555834,By (author),Lucy Bowma
9781409562467,By (author),Fiona Watt
9781409562467,", Illustrated by",Rachel Wells
9781409564010,By (author),Anna Milbourne
9781409564010,", Illustrated by",Simona Dimitri
9781409570202,By (author),NOT KNOWN
9781409580416,By (author),Lesley Sims
9781409580416,", Illustrated by",David Semple
9781409581796,By (author),Fiona Watt
9781409581796,", Illustrated by",Alistar
9781409582038,By (author),Anna Milbourne
9781409582038,", Illustrated by",Simona Dimitri
9781409595380,By (author),Fiona Watt
9781409595380,", Illustrated by",Rachel Wells
9781409596998,By (author),Fiona Watt
9781409596998,", Illustrated by",Stella Baggott
9781409597056,By (author),Fiona Watt
9781409597056,", Illustrated by",Stella Baggott
9781409597070,By (author),Fiona Watt
9781409597070,", Illustrated by",Stella Baggott
9781409597087,By (author),Fiona Watt
9781409597087,", Illustrated by",Stella Baggott
9781409599111,By (author),Anna Milbourne
9781409599111,", Illustrated by",Karl James Mountford
9781409599142,By (author),Anna Milbourne
9781409599142,", Illustrated by",Simona Dimitri
9781412735018,Created by,Publications International
9781414311647,By (author),Joel C. Rosenberg
9781416906308,By (photographer),Ken Karp Photography
9781416909750,By (author),Wendy Wax
9781416912538,By (author),Carolyn Keene
9781416912538,", Illustrated by",Macky Pamintuan
9781416919001,By (author),Abigail Tabby
9781416919001,", Illustrated by",Tiphanie Beeke
9781416919025,By (author),Abigail Tabby
9781416919025,", Illustrated by",Tiphanie Beeke
9781416935155,By (author),Irene Kilpatrick
9781416935155,", Illustrated by",Warner McGee
9781416936503,Created by,Little Simon Inspirations
9781416967392,By (author),Maggie Testa
9781416971719,By (author),Sharon M. Draper
9781416978879,By (author),Margaret Miller
9781416978886,By (author),Margaret Miller
9781416998211,By (author),Karen Katz
9781416998242,By (author),Karen Katz
9781419703713,By (author),Jo Witek
9781419703713,", Illustrated by",Christine Roussey
9781419713651,By (author),Ethan Long
9781419713668,By (author),Ethan Long
9781419713668,", By (author)",Vane Broussard
9781419719608,By (author),Jesse Andrews
9781419721892,By (author),Christopher Franceschelli
9781419721892,", Illustrated by",Peskimo
9781419735059,By (author),F. C. Yee
9781419735059,", Other primary creator",Michael Dante DiMartino
9781419736193,Introduction by,Roxane Gay
9781419736193,", Edited by",Diane Noomin
9781419737503,Edited by,Angie Manfredi
9781419741074,By (author),Matthew Reinhart
9781419741074,", Illustrated by",Toby Leigh
9781419741487,By (author),Rebecca Sugar
9781419741487,", Illustrated by",Elle Michalka
9781419741487,", Illustrated by",Angie Wang
9781419756979,By (author),Jeff Kinney
9781421502595,By (author),Kaori Yuki
9781421539645,By (author),Tsugumi Ohba
9781421539645,", Illustrated by",Takeshi Obata
9781421580364,By (author),Sui Ishida
9781421584393,Created by,Masashi Kishimoto
9781421587660,By (author),Haruichi Furudate
9781421591773,By (author),Shin Towada
9781421591773,", Translated by",Morgan Giles
9781421591773,", Created by",Sui Ishida
9781423100003,By (author),Julie Aigner-Clark
9781423100003,", By (author)",Marcy Kelman
9781423101260,By (author),Melissa de la Cruz
9781423102014,From an idea by,Julie Aigner-Clark
9781423102014,", Illustrated by",Nadeem Zaidi
9781423102038,By (author),Julie Aigner-Clark
9781423102038,", Illustrated by",Nadeem Zaidi
9781423102045,From an idea by,Julie Aigner-Clark
9781423102045,", Illustrated by",Nadeem Zaidi
9781423108375,By (author),Eoin Colfer
9781423108597,By (author),Julie Aigner-Clark
9781423108597,", Illustrated by",Nadeem Zaidi
9781423108627,By (author),Julie Aigner-Clark
9781423108627,", Illustrated by",Nadeem Zaidi
9781423114109,By (author),Mo Willems
9781423114376,By (author),Mo Willems
9781423115588,By (author),Disney Book Group
9781423115588,", Illustrated by",Disney Storybook Art Team
9781423117704,From an idea by,Julie Aigner-Clark
9781423117704,", Illustrated by",Nadeem Zaidi
9781423124238,By (author),Disney Book Group
9781423124238,", Illustrated by",Disney Storybook Art Team
9781423124955,By (author),Disney Book Group
9781423124955,", Illustrated by",Disney Storybook Art Team
9781423128342,By (author),Susan Ring
9781423128489,By (author),Disney Book Group
9781423128489,", By (author)",Susan Amerikaner
9781423128489,", Illustrated by",Disney Storybook Art Team
9781423128496,By (author),Disney Book Group
9781423128496,", Illustrated by",Disney Storybook Art Team
9781423128526,By (author),Disney Book Group
9781423128526,", Illustrated by",Disney Storybook Art Team
9781423133087,By (author),Mo Willems
9781423135852,By (author),Disney Book Group
9781423135852,", Illustrated by",Disney Storybook Art Team
9781423135869,By (author),Disney Book Group
9781423135869,", Illustrated by",Disney Storybook Art Team
9781423135883,By (author),Susan Ring
9781423135883,", Illustrated by",Disney Storybook Art Team
9781423136781,By (author),Disney Book Group
9781423136781,", Illustrated by",Disney Storybook Art Team
9781423139089,By (author),Disney Book Group
9781423139089,", Illustrated by",Disney Storybook Art Team
9781423139119,By (author),Disney Book Group
9781423139119,", By (author)",Sara F Miller
9781423139119,", Illustrated by",Disney Storybook Art Team
9781423140603,By (author),Rick Riordan
9781423143789,By (author),Disney Book Group
9781423143789,", Illustrated by",Disney Storybook Art Team
9781423146346,By (author),Disney Book Group
9781423148449,By (author),Disney Book Group
9781423148449,", By (author)",Denise Scott
9781423148449,", Illustrated by",Disney Storybook Art Team
9781423151067,By (author),Disney Book Group
9781423151067,", Illustrated by",Disney Storybook Art Team
9781423152880,By (author),Elizabeth Wein
9781423157335,By (author),Kara Lareau
9781423157335,", Illustrated by",Lorelay Bove
9781423167655,By (author),Disney Books
9781423167655,", Illustrated by",Disney Storybook Art Team
9781423168263,By (author),Disney Book Group
9781423168263,", By (author)",Scott Peterson
9781423168263,", Illustrated by",Alan Batson
9781423168294,By (author),Dbg
9781423169819,By (author),Disney Book Group
9781423169819,", Illustrated by",Disney Storybook Art Team
9781423177869,By (author),Dbg
9781423178286,By (author),Mo Willems
9781423184874,By (author),Laura Driscoll
9781423184874,", Illustrated by",Disney Storybook Art Team
9781423187547,By (author),Disney Books
9781423187547,", Illustrated by",Disney Storybook Art Team
9781423192527,By (author),Jamie A Swenson
9781423192527,", Illustrated by",Ned Young
9781423199571,By (author),Mo Willems
9781426310492,By (author),National Geographic Kids
9781426371455,By (author),National Geographic KIds
9781427801227,By (author),Dan Jolley
9781427801234,By (author),Dan Jolley
9781427807144,By (author),James Farr
9781427807144,", By (author)",Roger Mincheff
9781427807144,", Illustrated by",Alfa Robbi
9781427807144,", Illustrated by",Papillon Studio
9781427807359,Illustrated by,Ryoko Mitsuki
9781427807403,By (author),Tokyo Calen
9781427807403,", Illustrated by",Yoshiken
9781427807410,By (author),Tokyo Calen
9781427807410,", Illustrated by",Yoshiken
9781427811752,By (author),Alex De Campi
9781427811752,", Illustrated by",Federica Manfredi
9781427856586,Illustrated by,Ryuichi Hosino
9781427856753,Illustrated by,Yumi Tsukurino
9781427856777,Illustrated by,Nao Kodaka
9781427856791,Illustrated by,Nao Kodaka
9781427856890,Adapted by,Jason Muell
9781427856890,", Illustrated by",Natsuki Minami
9781427856982,Illustrated by,Haruhi Kato
9781427857002,Illustrated by,Haruhi Kato
9781427857026,Illustrated by,Jun Asuka
9781427857248,Illustrated by,Jun Asuka
9781427857712,Illustrated by,Shiro Shirai
9781427857729,Illustrated by,Tetsuhiro Koshita
9781427857828,Illustrated by,MAYA
9781427858016,Illustrated by,Haruhi Kato
9781427858054,Illustrated by,Nao Kodaka
9781427858092,Illustrated by,Shiori Kanaki
9781427858139,By (author),Hiromi Yamazaki
9781427858139,", Illustrated by",Hiromi Yamafuji
9781433506017,By (author),Bruce A. Ware
9781433819643,By (author),Sandra Lane
9781433819643,", By (author)",Brenda S. Miles
9781433819643,", Illustrated by",Shelly Hehenberger
9781433829833,By (author),Karen Rayne
9781433829833,", By (author)",Kathryn Gonzales
9781434296320,By (author),Franco
9781435832633,By (author),Joanne Mattern
9781435832749,By (author),Karen Donnelly
9781435838260,By (author),Ian F Mahaney
9781440506338,By (author),Michael Dahl
9781440506338,", By (author)",Kathi Wagner
9781440506338,", By (author)",Aubrey Wagner
9781440506338,", By (author)",Aileen Weintraub
9781442408272,By (author),Karen Katz
9781442408937,By (author),Benjamin Alire Saenz
9781442419780,By (author),Scott Westerfeld
9781442419797,By (author),Scott Westerfeld
9781442419803,By (author),Scott Westerfeld
9781442445741,By (author),Eric Carle
