Book Name,Rating,Customers_Rated,Price,Reading age,Grade level,Lexile measure,Print length,Language,Dimensions,Publisher,ISBN13,frontimg,subimage1,subimage2,subimage3
The Squirrels Who Squabbled,4.8,"5,030",,,,AD550L,,English,9.45 x 0.12 x 11.81 inches,HACHETTE UK,9781408340479,https://m.media-amazon.com/images/I/51dzJVdlQ1L._AC_US218_..jpg,,,
Oi Frog,4.9,"3,680",,,,,,English,7.05 x 0.67 x 8.35 inches,Hachette Children's Group,9781444933796,https://m.media-amazon.com/images/I/51iNGLtaueL._AC_US218_..jpg,,,
"Oi Dog! (Oi Frog And Friends) [Paperback] Kes Gray, Claire Gray",4.9,"3,265",,,,AD480L,,English,9.61 x 0.31 x 9.61 inches,Hachette Kids Hodder Children,9781444919592,https://m.media-amazon.com/images/I/51+FcDQax0L._AC_US218_..jpg,,,
Oi Cat Board Book,4.8,"3,160",,,,,,English,0.04 x 0.04 x 0.04 inches,Hachette Childrens Group,9781444944242,https://m.media-amazon.com/images/I/51DonZFIrtL._AC_US218_..jpg,,,
Oi Duck-Billed Platypus Board Book (Oi Frog And Friends),4.8,"2,739",,,,,24,English,7.17 x 0.71 x 7.17 inches,Hodder Children's Books,9781444948530,https://m.media-amazon.com/images/I/51cIuo2hQKL._AC_US218_..jpg,,,
Oi Puppies,4.8,"2,557",,,,,,English,9.61 x 0.16 x 9.61 inches,Hodder Children's Books,9781444937367,https://m.media-amazon.com/images/I/51dOiU68rTL._AC_US218_..jpg,,,
Way Home For Wolf,4.8,"1,758",,,,,,English,9.37 x 0.31 x 11.73 inches,Orchard Books,9781408349212,https://m.media-amazon.com/images/I/41Nh88O+dGL._AC_US218_..jpg,,,
Oi Aardvark! Board Book (Oi Frog And Friends),4.8,"1,488",,,,,,English,7.24 x 0.87 x 7.24 inches,,9781444955941,https://m.media-amazon.com/images/I/61Ut66KndiL._AC_US218_..jpg,,,
The Whale Who Wanted More,4.7,705,,,,,,English,9.37 x 0.31 x 11.73 inches,Orchard Books,9781408349229,https://m.media-amazon.com/images/I/51UJ-nX0K3L._AC_US218_..jpg,,,
Rabbit & Bear 1 Rabbits Bad Habits,4.7,678,,,,560L,,English,7.13 x 0.67 x 5.16 inches,Hodder Children's Books,9781444921687,https://m.media-amazon.com/images/I/51ASAJVTvGL._AC_US218_..jpg,,,
Oi Goat!: World Book Day 2018 (Oi Frog And Friends),4.1,626,,,,,,English,6.14 x 0.16 x 6.14 inches,Hodder Children's Books,9781444942316,https://m.media-amazon.com/images/I/71d5WSgg8FL._AC_US218_..jpg,,,
How Many Legs,4.7,550,,,,,,English,9.61 x 0.12 x 9.65 inches,Hachette Childrens Group,9781444910971,https://m.media-amazon.com/images/I/516hUWHdVlL._AC_US218_..jpg,,,
Quick Quack Quentin,4.7,525,,,Preschool - Kindergarten,AD550L,32,English,9.63 x 0.25 x 9.63 inches,Hachette Children's,9781444919578,https://m.media-amazon.com/images/I/41WuNRl1evL._AC_US218_..jpg,,,
"Grandpa Christmas: From Master Storyteller Michael Morpurgo, A Gloriously Feel-Good Christmas Tale With A Hopeful Message For Anyone Who Cares About The Future Of Our Planet!",4.6,511,,,,,32,English,9.06 x 0.08 x 9.06 inches,Farshore,9781405294973,https://m.media-amazon.com/images/I/81mvdjstDXL._AC_US218_..jpg,,,
Rabbit & Bear The Pest In The Nest,4.8,471,,,,530L,,English,7.09 x 0.47 x 5.12 inches,Hodder Children's Books,9781444921717,https://m.media-amazon.com/images/I/51r3OyiM+7L._AC_US218_..jpg,,,
Rabbit And Bear Attack Of The Snack,4.8,439,,,,570L,,English,7.32 x 0.47 x 6.93 inches,Hodder Children's Books,9781444921724,https://m.media-amazon.com/images/I/51NpUUO029L._AC_US218_..jpg,,,
I Want My Hat Back,4.8,"4,396",,,,,40,English,7.91 x 0.2 x 11.06 inches,WALKER BOOKS,9781406338539,https://m.media-amazon.com/images/I/81Od6O1QrpL._AC_US218_..jpg,,,
This Is Not My Hat,4.7,"2,095",,,,,,English,11.02 x 0.16 x 7.8 inches,"WALKER BOOKS LTD.,",9781406353433,https://m.media-amazon.com/images/I/71mZ2ZK7i2L._AC_US218_..jpg,,,
Sam & Dave Dig A Hole,4.6,"1,694",,,,,,English,10.63 x 0.2 x 7.87 inches,Walker Books Ltd,9781406360981,https://m.media-amazon.com/images/I/91R+lv-w19L._AC_US218_..jpg,,,
We Found A Hat,4.8,"1,175",,,,,56,English,7.87 x 0.28 x 11.02 inches,Walker,9781406373820,https://m.media-amazon.com/images/I/81ZDOh7iliL._AC_US218_..jpg,,,
The Dark. Lemony Snicket And Jon Klassen,4.7,930,,,,,,English,10.98 x 0.24 x 8.31 inches,Orchard,9781408330036,https://m.media-amazon.com/images/I/416+XEBpwVL._AC_US218_..jpg,,,
"The Wolf, The Duck, And The Mouse",4.8,471,,,Preschool - 3,,40,English,8.5 x 0.17 x 11.13 inches,Candlewick,9781536227796,https://m.media-amazon.com/images/I/913HqHNDmhL._AC_US218_..jpg,,,
Triangle,4.8,302,,,,,,English,9.02 x 0.16 x 9.02 inches,WALKER BOOKS,9781406378368,https://m.media-amazon.com/images/I/71o-4bn0oAL._AC_US218_..jpg,,,
"Pax, Journey Home",4.8,919,,,03-Jul,,256,English,7.72 x 0.98 x 5.51 inches,Balzer + Bray,9780063206748,https://m.media-amazon.com/images/I/91kyIRlPo5S._AC_US218_..jpg,,,
The Nest,4.5,206,,,05-Jun,640L,272,English,5 x 0.9 x 7 inches,Simon & Schuster Books for Young Readers,9781481432337,https://m.media-amazon.com/images/I/91J5RyyA6yL._AC_US218_..jpg,,,
The Bad Seed (The Food Group),4.7,"14,445",,,Preschool - 3,AD390L,40,English,9.1 x 0.6 x 11.1 inches,HarperCollins,9780062467768,https://m.media-amazon.com/images/I/81ErNcODNBL._AC_US218_..jpg,,,
The Good Egg (The Food Group),4.8,"8,725",,,Preschool - 3,AD510L,40,English,9.2 x 0.6 x 11.1 inches,HarperCollins,9780062866004,https://m.media-amazon.com/images/I/812oNxmfS0L._AC_US218_..jpg,,,
The Cool Bean (The Food Group),4.8,"6,991",,,Preschool - 3,AD530L,40,English,9.2 x 0.4 x 11 inches,HarperCollins,9780062954527,https://m.media-amazon.com/images/I/81QKD9AKdJL._AC_US218_..jpg,,,
"All My Friends Are Dead (Funny Books, Children'S Book For Adults, Interesting Finds, Animal Books)",4.7,"4,598",,,,,96,English,4.75 x 0.65 x 6.25 inches,Chronicle Books,9780811874557,https://m.media-amazon.com/images/I/51yvywOZAEL._AC_US218_..jpg,,,
The Couch Potato (The Food Group),4.8,"4,335",,,Preschool - 3,AD550L,40,English,9.25 x 0.25 x 11.25 inches,HarperCollins,9780062954534,https://m.media-amazon.com/images/I/71TWop7gb4L._AC_US218_..jpg,,,
The Good Egg Presents: The Great Eggscape!: Over 150 StickeInside (The Food Group),4.8,"4,218",,,Preschool - 3,520,32,English,9.25 x 0.25 x 9.25 inches,HarperCollins,9780062975676,https://m.media-amazon.com/images/I/81Y4fi5w5CL._AC_US218_..jpg,,,
The Smart Cookie (The Food Group),4.9,"2,473",,,Preschool - 3,AD440L,40,English,9.25 x 0.5 x 11.25 inches,HarperCollins,9780063045408,https://m.media-amazon.com/images/I/81uoepqJ1lS._AC_US218_..jpg,,,
"The Bad Seed Presents: The Good, The Bad, And The Spooky: Over 150 Spooky StickeInside. A Halloween Book For Kids (The Food Group)",4.8,"2,077",,,Preschool - 3,,32,English,9.5 x 0.5 x 9.5 inches,HarperCollins,9780062954541,https://m.media-amazon.com/images/I/A1mGYasTtES._AC_US218_..jpg,,,
K Is For Knifeball: An Alphabet Of Terrible Advice,4.8,"1,521",,,,,80,English,6.2 x 0.5 x 6.25 inches,Chronicle Books,9781452103310,https://m.media-amazon.com/images/I/51bxcsITt7L._AC_US218_..jpg,,,
"All My Friends Are Still Dead: (Funny Books, Children'S Book For Adults, Interesting Finds)",4.7,"1,298",,,,,108,English,4.75 x 0.63 x 6.25 inches,Chronicle Books,9781452106960,https://m.media-amazon.com/images/I/71Ea-hzhy2L._AC_US218_..jpg,,,
Giraffe Problems,4.8,917,,,,,,English,8.82 x 0.35 x 11.22 inches,Walker Books Ltd,9781406383164,https://m.media-amazon.com/images/I/81p8qJzfDYL._AC_US218_..jpg,,,
The Terrible Two,4.7,897,,,03-Jul,620L,224,English,6.25 x 1 x 8.5 inches,Harry N. Abrams,9781419714917,https://m.media-amazon.com/images/I/71SSXqNy5FL._AC_US218_..jpg,,,
Penguin Problems,4.7,720,,,,,32,English,8.86 x 0.39 x 11.22 inches,Walker Books,9781406375992,https://m.media-amazon.com/images/I/914LqnQecpL._AC_US218_..jpg,,,
The Terrible Two Get Worse,4.8,649,,,03-Jul,650L,224,English,6.55 x 0.85 x 8.5 inches,Harry N. Abrams,9781419716805,https://m.media-amazon.com/images/I/51EUjFyrkoL._AC_US218_..jpg,,,
The Bad Seed Goes To The Library (I Can Read Level 1),4.8,559,,,Preschool - 3,470L,32,English,6.5 x 0.5 x 9.5 inches,HarperCollins,9780062954565,https://m.media-amazon.com/images/I/81vfhRStj2L._AC_US218_..jpg,,,
Goodnight Already!,4.7,506,,,,,,English,9.29 x 0.2 x 11.26 inches,HarperCollinsChildren'sBooks,9780008101343,https://m.media-amazon.com/images/I/41TNvJu3rEL._AC_US218_..jpg,,,
The Sour Grape (The Food Group),4.8,430,,,Preschool - 3,AD430L,40,English,9.25 x 0.5 x 11.75 inches,HarperCollins,9780063045415,https://m.media-amazon.com/images/I/81QARg8eVML._AC_US218_..jpg,,,
The Good Egg And The Talent Show (I Can Read Level 1),4.9,372,,,Preschool - 3,,32,English,6 x 0.6 x 9.1 inches,HarperCollins,9780062954596,https://m.media-amazon.com/images/I/91e0Bc1UhUL._AC_US218_..jpg,,,
The Tiger Who Came To Tea,4.7,"12,747",,,,,32,English,11.02 x 0.16 x 8.66 inches,HarperCollins,9780007215997,https://m.media-amazon.com/images/I/8104V6BRjDL._AC_US218_..jpg,,,
Mog The Forgetful Cat,4.7,"2,136",,,Kindergarten - 2,470L,40,English,8.5 x 0.3 x 11 inches,HarperCollinsChildren’sBooks,9780007171347,https://m.media-amazon.com/images/I/81lSQzAbxdL._AC_US218_..jpg,,,
Bombs On Aunt Dainty,4.6,596,,,,1000L,336,English,5.12 x 0.94 x 7.76 inches,HarperCollins Publishers,9780007137619,https://m.media-amazon.com/images/I/71arWiqJDbL._AC_US218_..jpg,,,
A Small Person Far Away,4.6,503,,,,,,English,5.12 x 0.63 x 7.76 inches,HarperCollins Publishers,9780007137626,https://m.media-amazon.com/images/I/715nCKgtvgL._AC_US218_..jpg,,,
"Goodbye Mog: The Illustrated Adventures Of The Nation’S Favourite Cat, From The Author Of The Tiger Who Came To Tea",4.7,432,,,,,32,English,8.66 x 0.12 x 11.02 inches,HarperCollinsChildren’sBooks,9780007149698,https://m.media-amazon.com/images/I/810fGfYSoGL._AC_US218_..jpg,,,
Mog And The Baby,4.7,414,,,Kindergarten - 2,,32,English,8.66 x 0.12 x 11.02 inches,HarperCollinsChildren’sBooks,9780007171323,https://m.media-amazon.com/images/I/71igrqmY0vL._AC_US218_..jpg,,,
The Crocodile Under The Bed: The Classic Illustrated Children’S Book From The Author Of The Tiger Who Came To Tea,4.6,387,,,01-Feb,,32,English,8.66 x 0.08 x 11.02 inches,HarperCollinsChildren’sBooks,9780007586776,https://m.media-amazon.com/images/I/81jZZhUsm8L._AC_US218_..jpg,,,
Mog And Bunny,4.9,338,,,Kindergarten - 2,510L,32,English,8.5 x 0.16 x 11 inches,HarperCollins UK,9780007171309,https://m.media-amazon.com/images/I/81OhA4ItwtL._AC_US218_..jpg,,,
Cuando Hitler Robó El Conejo Rosa,4.6,313,,,,,336,Spanish,5.28 x 0.87 x 7.8 inches,"Santillana Educación, S.L.",9788491221395,https://m.media-amazon.com/images/I/81dJzbPVocL._AC_US218_..jpg,,,
