isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9781402255441,,The Girl Who Never Made Mistakes: A Growth Mindset Book for Kids to Promote Self Esteem,4.7,"2,890",Hardcover,"5 - 8 years, from customers",Preschool - 3,AD520L,32 pages,English,11.25 x 0.33 x 8.75 inches,Sourcebooks Jabberwocky,"October 1, 2011",1402255446,978-1402255441,Mark Pett,Gary Rubinstein,Not known,https://m.media-amazon.com/images/I/51e5XQgfwNL._US218_.jpg,https://m.media-amazon.com/images/I/41iFQVRqpOL._US218_.jpg,https://m.media-amazon.com/images/I/41GIUeN21RL._US218_.jpg
9781472906090,,How Are You Feeling Today?,4.6,"1,245",Hardcover,2 - 6 years,Not known,Not known,Not known,English,9.92 x 0.35 x 10.08 inches,Bloomsbury Publishing India Pvt Limited,"July 17, 2014",1472906098,978-1472906090,Molly Potter,Not known,Not known,https://m.media-amazon.com/images/I/61RMCw+DdrL._US218_.jpg,https://m.media-amazon.com/images/I/41WdnWwzuaL._US218_.jpg,https://m.media-amazon.com/images/I/41gqmibabuL._US218_.jpg
9780545581608,,Dog Man: From the Creator of Captain Underpants (Dog Man #1),4.8,"21,294",Hardcover,"6 - 9 years, from customers",2 - 4,GN390L,240 pages,English,5.75 x 0.75 x 8.5 inches,Graphix,"August 30, 2016",545581605,978-0545581608,"Dav Pilkey(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/41Y8g8S276L._US218_.jpg,https://m.media-amazon.com/images/I/51g3OQL52BL._US218_.jpg,https://m.media-amazon.com/images/I/41Iv1NP0hkL._US218_.jpg
9780330439725,,Hatchet,4.7,"23,894",Paperback,"9+ years, from customers",Not known,Not known,160 pages,English,5.12 x 0.43 x 7.8 inches,Pan Childrens,"January 1, 2005",9780330439725,978-0330439725,Gary Paulsen,Not known,Not known,https://m.media-amazon.com/images/I/41pBN8vYy-L._US218_.jpg,https://m.media-amazon.com/images/I/51Wce-gsvDL._US218_.jpg,https://m.media-amazon.com/images/I/41KO-wFKPSL._US218_.jpg
9780394809373,,The Foot Book (The Bright and Early Books for Beginning Beginners),4.8,"10,738",Hardcover,"1 - 4 years, from customers",Not known,NP,36 pages,English,6.75 x 0.3 x 9.31 inches,Random House Books for Young Readers,"October 12, 1968",394809378,978-0394809373,Dr. Seuss,Not known,Not known,https://m.media-amazon.com/images/I/41dGk57DgBL._US218_.jpg,https://m.media-amazon.com/images/I/51hlwBb8WFL._US218_.jpg,https://m.media-amazon.com/images/I/41L+QEdQ12L._US218_.jpg
9781783446353,,After the Fall,4.8,"3,930",Paperback,"3 - 9 years, from customers",Not known,Not known,Not known,English,8.66 x 0.2 x 11.02 inches,RHUK,Not known,9781783446353,978-1783446353,RHUK,Not known,Not known,https://m.media-amazon.com/images/I/51m9-n23PtL._US218_.jpg,https://m.media-amazon.com/images/I/413JR8K7mQL._US218_.jpg,https://m.media-amazon.com/images/I/41l3n-5TOcL._US218_.jpg
9781554537044,,The Most Magnificent Thing,4.8,"3,921",Hardcover,"3 - 7 years, from customers",Preschool - 2,AD380L,32 pages,English,9.25 x 1.5 x 9.25 inches,Kids Can Press,"August 1, 2013",1554537045,978-1554537044,"Ashley Spires(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/514W6VxluVL._US218_.jpg,https://m.media-amazon.com/images/I/41bwLix+KtS._US218_.jpg,https://m.media-amazon.com/images/I/41LFzsQKALL._US218_.jpg
9780545935203,,Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),4.8,"20,298",Hardcover,"6 - 9 years, from customers",2 - 4,GN320L,224 pages,English,6 x 0.75 x 8.5 inches,Graphix,"December 27, 2016",545935202,978-0545935203,"Dav Pilkey(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51A490Wdp9L._US218_.jpg,https://m.media-amazon.com/images/I/51HIHSJ7fWL._US218_.jpg,https://m.media-amazon.com/images/I/41mpTUwM6YL._US218_.jpg
9781452178592,,Press Here (Herve Tullet),4.8,"14,154",Board book,"2 - 4 years, from customers",Preschool - Kindergarten,AD480L,46 pages,English,6 x 1 x 6.05 inches,Chronicle Books,"February 19, 2019",1452178593,978-1452178592,Herve Tullet,Not known,Not known,https://m.media-amazon.com/images/I/41MLqGrdOuL._US218_.jpg,https://m.media-amazon.com/images/I/41ius2gdwVL._US218_.jpg,https://m.media-amazon.com/images/I/41PwMLbs6zL._US218_.jpg
9780688149000,,Freight Train Board Book: A Caldecott Honor Award Winner (Caldecott Collection),4.8,"1,767",Board book,"1 - 3 years, from customers",Preschool - 3,NP0L,26 pages,English,6 x 0.5 x 5.5 inches,Greenwillow Books,"September 20, 1996",688149006,978-0688149000,"Donald Crews(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51sW7Zw8nEL._US218_.jpg,https://m.media-amazon.com/images/I/51qV1Ee-0zL._US218_.jpg,https://m.media-amazon.com/images/I/41QJ558YCRL._US218_.jpg
