isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9780395259399,,Mike Mulligan and His Steam Shovel (Sandpiper Books),4.9,"2,368",Paperback,"2 - 6 years, from customers",Preschool - 3,580L,48 pages,English,9.25 x 0.12 x 8.5 inches,Clarion Books,"October 12, 1977",395259398,978-0395259399,Virginia Lee Burton,Not known,Not known,https://m.media-amazon.com/images/I/51+DZQTcdWL._US218_.jpg,https://m.media-amazon.com/images/I/41tA+LK3+EL._US218_.jpg,
9780544283299,,Five Little Monkeys Jumping on the Bed Deluxe Edition (A Five Little Monkeys Story),4.9,"4,318",Hardcover,"1 - 3 years, from customers",Preschool - 3,310L,40 pages,English,10 x 0.34 x 8 inches,Clarion Books,"October 7, 2014",544283295,978-0544283299,"Eileen Christelow(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/61bxKSFPqSL._US218_.jpg,https://m.media-amazon.com/images/I/41U+z2GImXL._US218_.jpg,
9781616205676,,The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),4.7,"26,014",Hardcover,"8 - 12 years, from customers",5 - 9,640L,400 pages,English,5.9 x 1.25 x 8.5 inches,Algonquin Young Readers,"August 9, 2016",1616205679,978-1616205676,Kelly Barnhill,Not known,Not known,https://m.media-amazon.com/images/I/51fMbVKlzNL._US218_.jpg,https://m.media-amazon.com/images/I/41umqCzYXDL._US218_.jpg,
9780593174999,,"Hello, World! Planet Earth",4.9,"1,223",Board book,"2 - 3 years, from customers",Not known,Not known,26 pages,English,7.76 x 5.08 x 0.14 inches,Doubleday Books for Young Readers,"October 6, 2020",593174992,978-0593174999,Jill McDonald,Not known,Not known,https://m.media-amazon.com/images/I/51rDz8Rr1eL._US218_.jpg,https://m.media-amazon.com/images/I/41VcJC13wTL._US218_.jpg,
9781416949114,,"Please, Baby, Please (Classic Board Books)",4.8,"5,261",Board book,"1 - 3 years, from customers",Preschool - Kindergarten,Not known,32 pages,English,6 x 0.7 x 6 inches,Little Simon,"September 18, 2007",1416949119,978-1416949114,Spike Lee,Tonya Lewis Lee,Kadir Nelson,https://m.media-amazon.com/images/I/51fAKSXpDKL._US218_.jpg,https://m.media-amazon.com/images/I/41VGtIm7-iL._US218_.jpg,
9780525514121,,"Just Ask!: Be Different, Be Brave, Be You",4.9,"3,786",Hardcover,"4 - 7 years, from customers",Preschool - 3,710L,32 pages,English,7.76 x 5.08 x 0.15 inches,Philomel Books,"September 3, 2019",525514120,978-0525514121,Sonia Sotomayor,Rafael López,Not known,https://m.media-amazon.com/images/I/51TEm91UC1L._US218_.jpg,https://m.media-amazon.com/images/I/41vtZuaiPKL._US218_.jpg,
9780571365609,,While We Can't Hug (Hedgehog & Friends),4.8,"2,772",Paperback,Baby - 5 years,Not known,Not known,Not known,English,9.92 x 0.24 x 9.92 inches,Faber & Faber,"June 25, 2020",571365604,978-0571365609,Eoin McLaughlin,Not known,Not known,https://m.media-amazon.com/images/I/51dfuxa50UL._US218_.jpg,https://m.media-amazon.com/images/I/41W5t9LsknL._US218_.jpg,
9780241562284,,Diary Of A Wimpy Kid (Book 1),4.6,"26,943",Paperback,"7 - 10 years, from customers",Not known,Not known,Not known,English,8.66 x 5.91 x 0.98 inches,Not known,Not known,241562287,978-0241562284,Not known,Not known,Not known,https://m.media-amazon.com/images/I/51o1JY0Z3mL._US218_.jpg,https://m.media-amazon.com/images/I/517dua9yNaL._US218_.jpg,
9781433828546,,Something Happened in Our Town: A Child's Story About Racial Injustice (Something Happened Series),4.8,"1,186",Hardcover,"4 - 8 years, from customers",Preschool - 3,AD540L,40 pages,English,8.1 x 0.4 x 10.1 inches,Magination Press,"April 4, 2018",1433828545,978-1433828546,Marianne Celano PhD,Marietta Collins PhD,Ann Hazzard PhD,https://m.media-amazon.com/images/I/61c4sXutkvL._US218_.jpg,https://m.media-amazon.com/images/I/51bqVrUnv5L._US218_.jpg,
9780356500843,,Ender's Game,4.6,"39,644",Paperback,"6 - 13 years, from customers",Not known,Not known,Not known,English,5.12 x 0.94 x 7.72 inches,HACHETTE INDIA,"January 1, 2011",9780356500843,978-0356500843,ORSON CARD,Not known,Not known,https://m.media-amazon.com/images/I/51t9Y4zun9L._US218_.jpg,https://m.media-amazon.com/images/I/51eFl0lfkJL._US218_.jpg,
9780241530412,,Rowley Jefferson's Awesome Friendly Spooky Stories,4.7,"8,769",Paperback,"7 - 11 years, from customers",Not known,Not known,Not known,English,5.08 x 0.59 x 7.8 inches,PENGUIN,"July 13, 2022",241530415,978-0241530412,Kinney Jeff,Not known,Not known,https://m.media-amazon.com/images/I/51p4Z0WI2JL._US218_.jpg,https://m.media-amazon.com/images/I/51F+fsNhxrL._US218_.jpg,
9781250071811,,Your Baby's First Word Will Be DADA,4.7,"15,176",Board book,"Baby - 2 years, from customers",Not known,NP,34 pages,English,6.55 x 0.65 x 6.45 inches,Feiwel & Friends,"June 9, 2015",125007181X,978-1250071811,Jimmy Fallon,Miguel Ordóñez,Not known,https://m.media-amazon.com/images/I/51d86cWth0L._US218_.jpg,https://m.media-amazon.com/images/I/51OlmRqpygL._US218_.jpg,
9780312527594,,"See, Touch, Feel: A First Sensory Book",4.8,"10,146",Board book,"Baby - 1 year, from customers",Not known,Not known,16 pages,English,9.2 x 0.95 x 8.3 inches,Priddy Books US,"September 25, 2018",312527594,978-0312527594,Roger Priddy,Not known,Not known,https://m.media-amazon.com/images/I/51QM2+Zrf2L._US218_.jpg,https://m.media-amazon.com/images/I/51y2fG2yjXL._US218_.jpg,
9780973410457,,It's OK to be Different: A Children's Picture Book About Diversity and Kindness,4.8,"5,709",Paperback,"2 - 6 years, from customers",Kindergarten - 3,Not known,29 pages,English,8.5 x 0.07 x 8.5 inches,Not known,"September 19, 2019",973410450,978-0973410457,Sharon Purtill,Sujata Saha,Not known,https://m.media-amazon.com/images/I/51Gs+HSNHxL._US218_.jpg,https://m.media-amazon.com/images/I/51YV3+GaE7L._US218_.jpg,
9780241326336,,The Firework-Maker's Daughter,4.6,"1,598",Paperback,Not known,Not known,Not known,Not known,English,5.08 x 0.31 x 7.8 inches,Puffin,Not known,241326338,978-0241326336,PHILIP PULLMAN,Not known,Not known,https://m.media-amazon.com/images/I/511WSb2odZL._US218_.jpg,https://m.media-amazon.com/images/I/51ZrJ7bbXHL._US218_.jpg,
9781730970672,,A Christmas Carol,4.7,"24,711",Paperback,"6+ years, from customers",Not known,Not known,70 pages,English,6 x 0.18 x 9 inches,Not known,"November 7, 2018",1730970672,978-1730970672,Charles Dickens,Not known,Not known,https://m.media-amazon.com/images/I/41A+XRrzWmL._US218_.jpg,https://m.media-amazon.com/images/I/61SnIQ3LtEL._US218_.jpg,
9780439708180,,Harry Potter and the Sorcerer's Stone,5,2,Paperback,"7+ years, from customers",Not known,Not known,784 pages,English,Not known,Scholastic Paperbacks,"January 1, 1999",439708184,978-0439708180,J. K. Rowling,Not known,Not known,https://m.media-amazon.com/images/I/31x8gOdtRCL._US218_.jpg,,
9780803741713,,The Book with No Pictures,4.8,"18,893",Hardcover,"3 - 6 years, from customers",Kindergarten - 3,490L,48 pages,English,8.44 x 0.48 x 10.38 inches,Rocky Pond Books,"September 30, 2014",141361794,978-0803741713,B. J. Novak,Not known,Not known,https://m.media-amazon.com/images/I/41-7wT9ak8L._US218_.jpg,,
9781484732748,,"The Trials of Apollo, Book 1: The Hidden Oracle",4.7,"22,180",Hardcover,"10 - 12 years, from customers",5 - 9,680L,384 pages,English,5.8 x 1.3 x 8.5 inches,Disney Hyperion,"May 3, 2016",148473274X,978-1484732748,Rick Riordan,Not known,Not known,https://m.media-amazon.com/images/I/41+KlyG76VL._US218_.jpg,,
9781338760880,,Clifford the Big Red Dog (Board Book),4.8,"2,653",Board book,"1 - 4 years, from customers",Preschool - Kindergarten,AD180L,20 pages,English,4.75 x 0.75 x 6.75 inches,Scholastic Inc.,"September 7, 2021",1338760882,978-1338760880,"Norman Bridwell(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/417z-EsVxDL._US218_.jpg,,
9781447262923,,Fudge Two Books In One,4.7,"11,392",Paperback,"8 - 9 years, from customers",Not known,Not known,Not known,English,7.76 x 0.51 x 5.12 inches,PAN MACMILLAN,Not known,1447262921,978-1447262923,JUDY BLUME,Not known,Not known,https://m.media-amazon.com/images/I/41aMJrWP+NL._US218_.jpg,,
9781442402980,,Creepy Pair of Underwear! (Creepy Tales!),4.9,"4,854",Hardcover,"3 - 6 years, from customers",Preschool - 3,AD470L,48 pages,English,9 x 0.5 x 12 inches,Simon & Schuster Books for Young Readers,"August 15, 2017",1442402989,978-1442402980,Aaron Reynolds,Peter Brown,Not known,https://m.media-amazon.com/images/I/41dlcuo83OL._US218_.jpg,,
9780735229358,,The Rabbit Listened,4.9,"4,228",Hardcover,"2 - 6 years, from customers",Not known,AD450L,40 pages,English,10.38 x 0.4 x 10.25 inches,Dial Books,"February 20, 2018",073522935X,978-0735229358,"Cori Doerrfeld(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/41K3GDcVtXL._US218_.jpg,,
9780439738194,,"May I Please Have a Cookie? (Scholastic Readers, Level 1)",4.8,"6,287",Paperback,"2 - 5 years, from customers",Preschool - 3,250L,32 pages,English,6.25 x 0.25 x 9.25 inches,Cartwheel Books,"October 1, 2005",439738199,978-0439738194,"Jennifer E. Morris(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/41l7xK-eo9L._US218_.jpg,,
9780008567125,,Tolkien:The Fellowship of the Ring,4.3,45,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,https://m.media-amazon.com/images/I/41p35Ldd5vL._US218_.jpg,,
9780152060572,,Ten Little Fingers and Ten Little Toes,4.8,"2,625",Hardcover,"1 - 3 years, from customers",Not known,AD550L,40 pages,English,9.48 x 11.04 x 0.39 inches,Clarion Books,"October 1, 2008",015206057X,978-0152060572,Mem Fox,Helen Oxenbury,Not known,https://m.media-amazon.com/images/I/41PPg2THOZL._US218_.jpg,,
9780375869020,,Wonder,4.7,"82,988",Hardcover,"9 - 11 years, from customers",3 - 7,790L,320 pages,English,5.69 x 1.25 x 8.56 inches,Knopf Books for Young Readers,"February 14, 2012",375969020,978-0375869020,R. J. Palacio,Not known,Not known,https://m.media-amazon.com/images/I/41YjzRHO31L._US218_.jpg,,
9781426308468,,National Geographic Little Kids First Big Book of Dinosaurs (National Geographic Little Kids First Big Books),4.8,"14,817",Hardcover,"3 - 5 years, from customers",Preschool - Kindergarten,NC660L,128 pages,English,10.17 x 0.53 x 10.17 inches,National Geographic Kids,"October 11, 2011",1426308469,978-1426308468,Catherine D. Hughes,Not known,Not known,https://m.media-amazon.com/images/I/51-Hiuj0nZL._US218_.jpg,,
9780141363929,,Trials Of Apollo Bk 1 The Hidden Oracle,4.7,"22,180",Paperback,"10+ years, from customers",Not known,680L,Not known,English,7.8 x 5.08 x 0.94 inches,PENGUIN,"April 20, 2017",9780141363929,978-0141363929,Riordan Rick,Not known,Not known,https://m.media-amazon.com/images/I/510VDD-a+TL._US218_.jpg,,
9780593349663,,Charlie and the Chocolate Factory: The Golden Edition,4.7,"17,780",Paperback,"6 - 9 years, from customers",3 - 7,810L,192 pages,English,5.13 x 0.49 x 7.75 inches,Viking Books for Young Readers,"May 4, 2021",593349660,978-0593349663,Roald Dahl,Quentin Blake,Not known,https://m.media-amazon.com/images/I/510ybIgT29L._US218_.jpg,,
9780142425381,,Matilda: Broadway Tie-In,4.7,"19,274",Paperback,"6 - 10 years, from customers",3 - 7,840L,256 pages,English,5.13 x 0.68 x 7.75 inches,Viking Books for Young Readers,"February 7, 2013",142425389,978-0142425381,Roald Dahl,Quentin Blake,Not known,https://m.media-amazon.com/images/I/512IsvYT+4L._US218_.jpg,,
9780440417996,,The Name Jar,4.8,"3,877",Paperback,"5 - 9 years, from customers",Preschool - 2,AD590L,40 pages,English,8.56 x 0.14 x 11 inches,Dragonfly Books,"October 14, 2003",9780440417996,978-0440417996,"Yangsook Choi(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/513C13v3MPL._US218_.jpg,,
9781534425361,,Sulwe,4.9,"7,995",Hardcover,"3 - 8 years, from customers",Preschool - 3,AD580L,48 pages,English,9 x 0.5 x 11.38 inches,Simon & Schuster Books for Young Readers,"October 15, 2019",1534425365,978-1534425361,Lupita Nyong'o,Vashti Harrison,Not known,https://m.media-amazon.com/images/I/514+PODtPKL._US218_.jpg,,
9781432863883,,Esperanza Rising,4.7,"10,061",Paperback,"9 - 12 years, from customers",Not known,750L,256 pages,English,5.5 x 0.8 x 8.4 inches,Thorndike Press Large Print,"March 13, 2019",1432863886,978-1432863883,Pam Munoz Ryan,Not known,Not known,https://m.media-amazon.com/images/I/51677BbxptL._US218_.jpg,,
9780358362616,,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",4.9,"4,820",Board book,"1 - 4 years, from customers",Not known,510L,32 pages,English,6.75 x 0.73 x 7.5 inches,Clarion Books,"September 15, 2020",035836261X,978-0358362616,Audrey Wood,Don Wood,Not known,https://m.media-amazon.com/images/I/516CpooMWkL._US218_.jpg,,
9781101918715,,Narwhal: Unicorn of the Sea (A Narwhal and Jelly Book #1),4.8,"2,189",Paperback,"5 - 8 years, from customers",1 - 4,AD490L,64 pages,English,6.06 x 0.28 x 8.31 inches,Tundra Books,"October 4, 2016",1101918713,978-1101918715,Ben Clanton,Not known,Not known,https://m.media-amazon.com/images/I/517f4rsM3RL._US218_.jpg,,
9781536202908,,Jabari Jumps,4.9,"3,529",Paperback,"3 - 6 years, from customers",Preschool - 3,Not known,32 pages,English,9.81 x 0.14 x 11.38 inches,Candlewick,"April 7, 2020",1536202908,978-1536202908,"Gaia Cornwall(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/518YREYhBoL._US218_.jpg,,
9781250079473,,"Arnie, the Doughnut (The Adventures of Arnie the Doughnut, 1)",4.9,"1,772",Paperback,"4 - 8 years, from customers",2 - 3,AD600L,40 pages,English,9 x 0.1 x 11 inches,Square Fish,"May 10, 2016",9781250079473,978-1250079473,"Laurie Keller(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/5191fyLJWsL._US218_.jpg,,
9780141335735,,THE SON OF NEPTUNE (HEROES OF OLYMPUS BOOK 2),4.8,"25,544",Paperback,"9+ years, from customers",Not known,640L,Not known,English,7.8 x 5.08 x 1.28 inches,PENGUIN,"September 19, 2012",9780141335735,978-0141335735,RIORDAN RICK,Not known,Not known,https://m.media-amazon.com/images/I/51AlD+DHttL._US218_.jpg,,
9780062691194,,New Kid: A Newbery Award Winner,4.7,"8,821",Paperback,"9 - 12 years, from customers",3 - 7,GN320L,256 pages,English,6 x 0.64 x 9 inches,Quill Tree Books,"February 5, 2019",62691198,978-0062691194,"Jerry Craft(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51B8+RiLYZL._US218_.jpg,,
9781408849828,,You Can't Take An Elephant On the Bus,4.6,"1,743",Paperback,2 - 6 years,Not known,Not known,Not known,English,9.65 x 0.16 x 10.79 inches,Bloomsbury Childrens,"January 1, 2015",1408849828,978-1408849828,Patricia Cleveland-Peck,Not known,Not known,https://m.media-amazon.com/images/I/51BjxcSrF4L._US218_.jpg,,
9780786837397,,My Truck Is Stuck!,4.7,"2,018",Board book,"1 - 3 years, from customers",Preschool - Kindergarten,AD420L,30 pages,English,7.05 x 1.25 x 5 inches,"Little, Brown Books for Young Readers","February 1, 2006",078683739X,978-0786837397,Kevin Lewis,Daniel Kirk,Not known,https://m.media-amazon.com/images/I/51buJkJf4AL._US218_.jpg,,
9780593380062,,Can I Be Your Dog?,4.8,"1,688",Paperback,"3 - 6 years, from customers",Preschool - 2,530L,40 pages,English,10 x 0.16 x 10 inches,Dragonfly Books,"February 8, 2022",593380061,978-0593380062,Troy Cummings,Not known,Not known,https://m.media-amazon.com/images/I/51CcJ9LHriS._US218_.jpg,,
9780142410363,,James and the Giant Peach,4.7,"7,852",Paperback,"5 - 9 years, from customers",3 - 7,790L,146 pages,English,7.6 x 5 x 0.5 inches,Penguin Young Readers Group,"August 16, 2007",142410365,978-0142410363,Roald Dahl,Quentin Blake,Not known,https://m.media-amazon.com/images/I/51cHrLMCvkL._US218_.jpg,,
9781848126473,,Girl Who Drank The Moon,4.7,"26,014",Paperback,"8 - 12 years, from customers",Not known,Not known,Not known,English,5.08 x 1.04 x 7.8 inches,PICCADILLY PRESS,"January 1, 2017",1848126476,978-1848126473,Kelly Barnhill,Not known,Not known,https://m.media-amazon.com/images/I/51CmZgnxeXL._US218_.jpg,,
9780593115343,,Little Owl's Snow,4.8,"1,623",Board book,"1 - 3 years, from customers",Not known,AD560L,34 pages,English,5.56 x 0.72 x 7.06 inches,Viking Books for Young Readers,"October 13, 2020",593115341,978-0593115343,Divya Srinivasan,Not known,Not known,https://m.media-amazon.com/images/I/51coB9Vw-nL._US218_.jpg,,
9781626726826,,After the Fall (How Humpty Dumpty Got Back Up Again),4.8,"3,930",Hardcover,"3 - 9 years, from customers",Not known,AD550L,40 pages,English,8.84 x 0.47 x 11.12 inches,Roaring Brook Press,"October 3, 2017",1626726825,978-1626726826,"Dan Santat(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51CszFfu7AL._US218_.jpg,,
9781408340479,,The Squirrels Who Squabbled,4.8,"5,209",Paperback,2 - 6 years,Not known,Not known,Not known,English,11.42 x 0.47 x 7.87 inches,HACHETTE UK,"January 1, 2018",140834047X,978-1408340479,Rachel Bright,Not known,Not known,https://m.media-amazon.com/images/I/51dzJVdlQ1L._US218_.jpg,,
9780688128975,,Lilly's Purple Plastic Purse,4.8,"1,471",Hardcover,"3 - 6 years, from customers",Preschool - 4,600L,32 pages,English,8.5 x 0.5 x 10.5 inches,Greenwillow Books,"January 24, 2006",688128971,978-0688128975,"Kevin Henkes(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51eGfgTW5pL._US218_.jpg,,
9781523500383,,Paint by Sticker Kids: Under the Sea: Create 10 Pictures One Sticker at a Time!,4.8,"8,038",Paperback,"5 - 8 years, from customers",Kindergarten - 4,Not known,44 pages,English,9 x 0.25 x 9 inches,Workman Publishing Company,"May 16, 2017",1523500387,978-1523500383,Workman Publishing,Not known,Not known,https://m.media-amazon.com/images/I/51G2xeaIlfL._US218_.jpg,,
9781484746431,,"Burning Maze, The-Trials of Apollo, The Book Three",4.8,"14,150",Hardcover,10 - 14 years,5 - 9,710L,448 pages,English,5.6 x 1.4 x 8.5 inches,Disney Hyperion,"May 1, 2018",1484746430,978-1484746431,Rick Riordan,Not known,Not known,https://m.media-amazon.com/images/I/51gCKKUo4PL._US218_.jpg,,
9780141346816,,Percy Jackson and the Titan's Curse (Book 3),4.7,"28,798",Paperback,"9 - 12 years, from customers",Not known,Not known,298 pages,English,7.8 x 5.08 x 0.76 inches,PUFFIN BOOKS,"January 1, 2015",141346817,978-0141346816,RICK RIORDAN,Not known,Not known,https://m.media-amazon.com/images/I/51gmLhmCQLL._US218_.jpg,,
9780141365503,,George's Marvellous Medicine,4.6,"8,540",Paperback,"6 - 10 years, from customers",2 - 4,640L,128 pages,English,5.12 x 0.39 x 7.8 inches,Puffin,"April 26, 2016",9780141365503,978-0141365503,Roald Dahl,Quentin Blake,Not known,https://m.media-amazon.com/images/I/51gP543mjmL._US218_.jpg,,
9781444944204,,Huge Bag of Worries,4.6,"2,753",Board book,2 - 6 years,Not known,Not known,Not known,English,5.51 x 0.39 x 7.09 inches,HACHETTE,"September 20, 2018",1444944207,978-1444944204,Not known,Not known,Not known,https://m.media-amazon.com/images/I/51GzrLriMNL._US218_.jpg,,
9781442402973,,Creepy Carrots! (Creepy Tales!),4.8,"4,871",Hardcover,"3 - 6 years, from customers",Preschool - 3,AD490L,40 pages,English,9 x 0.5 x 12 inches,Simon & Schuster Books for Young Readers,"August 21, 2012",1442402970,978-1442402973,Aaron Reynolds,Peter Brown,Not known,https://m.media-amazon.com/images/I/51HmgKqTRyL._US218_.jpg,,
9781484746424,,"Trials of Apollo, The Book Two: Dark Prophecy, The-Trials of Apollo, The Book Two",4.7,"17,993",Hardcover,"10 - 12 years, from customers",5 - 9,700L,432 pages,English,5.85 x 1.35 x 8.6 inches,Disney Hyperion,"May 2, 2017",1484746422,978-1484746424,Rick Riordan,Not known,Not known,https://m.media-amazon.com/images/I/51iPeq+R34L._US218_.jpg,,
9780316562577,,Don't Touch My Hair!,4.9,"1,532",Paperback,"2 - 6 years, from customers",Preschool - 3,Not known,40 pages,English,8.5 x 0.4 x 11 inches,"Little, Brown Books for Young Readers","November 5, 2019",316562572,978-0316562577,Sharee Miller,Not known,Not known,https://m.media-amazon.com/images/I/51jITU3tW4L._US218_.jpg,,
9780735229860,,Islandborn,4.9,"1,224",Hardcover,"2 - 8 years, from customers",Kindergarten - 3,AD600L,48 pages,English,8.81 x 0.45 x 11.25 inches,Dial Books,"March 13, 2018",735229864,978-0735229860,Junot Díaz,Leo Espinosa,Not known,https://m.media-amazon.com/images/I/51jkLQ3I8UL._US218_.jpg,,
9780394800233,,A Fish Out of Water (Beginner Books),4.9,"1,553",Hardcover,"2 - 6 years, from customers",Preschool - 2,310L,72 pages,English,6.75 x 0.38 x 9.31 inches,Random House Books for Young Readers,"August 12, 1961",394800230,978-0394800233,Helen Palmer,P.D. Eastman,Not known,https://m.media-amazon.com/images/I/51KbT2XFpgL._US218_.jpg,,
9781529036145,,I Am Perfectly Designed,4.8,"1,244",Paperback,Not known,Not known,Not known,Not known,English,8.54 x 0.24 x 10.98 inches,Macmillan Children's Books,Not known,1529036143,978-1529036145,Not known,Not known,Not known,https://m.media-amazon.com/images/I/51KtuuKCA2L._US218_.jpg,,
9780241389324,,DIARY OF A WIMPY KID: THE MELTDOWN (BOOK 13),4.8,"29,894",Paperback,"8 - 11 years, from customers",Not known,Not known,Not known,English,7.8 x 5.08 x 0.57 inches,PENGUIN,"August 28, 2019",241389321,978-0241389324,KINNEY JEFF,Not known,Not known,https://m.media-amazon.com/images/I/51m29DumRUL._US218_.jpg,,
9780763622626,,Library Lion,4.9,780,Hardcover,"3 - 7 years, from customers",Preschool - 3,470L,48 pages,English,10.19 x 0.47 x 11.79 inches,Candlewick,"July 25, 2006",763622621,978-0763622626,Michelle Knudsen,Kevin Hawkes,Not known,https://m.media-amazon.com/images/I/51majGu1FBL._US218_.jpg,,
9780141335766,,Heroes Of Olympus The Mark Of Athena,4.8,"31,324",Paperback,"9 - 13 years, from customers",Not known,690L,602 pages,English,7.8 x 5.08 x 1.43 inches,PUFFIN BOOKS,"January 1, 2015",141335769,978-0141335766,Riordan Rick,Not known,Not known,https://m.media-amazon.com/images/I/51mir6Py5jL._US218_.jpg,,
9780152024888,,I Ain't Gonna Paint No More!,4.9,"1,308",Hardcover,"2 - 5 years, from customers",Preschool - 3,AD410L,32 pages,English,9 x 0.38 x 10 inches,Clarion Books,"April 1, 2005",152024883,978-0152024888,Karen Beaumont,David Catrow,Not known,https://m.media-amazon.com/images/I/51n2e4T2+lL._US218_.jpg,,
9780486492834,,My Father's Dragon,4.7,"2,777",Paperback,"4 - 7 years, from customers",1 - 4,970L,96 pages,English,5.5 x 0.25 x 8.75 inches,Dover Publications,"January 15, 2014",486492834,978-0486492834,Ruth Stiles Gannett,Ruth Chrisman Gannett,Not known,https://m.media-amazon.com/images/I/51Nm4bXcAwL._US218_.jpg,,
9780689834196,,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,4.8,"2,120",Paperback,"5 - 10 years, from customers",Preschool - 3,630L,32 pages,English,9 x 0.3 x 12 inches,Simon & Schuster Books for Young Readers,"November 1, 2003",689834195,978-0689834196,Deloris Jordan,Roslyn M. Jordan,Kadir Nelson,https://m.media-amazon.com/images/I/51NwKX5v-DL._US218_.jpg,,
9780679824114,,"Dinosaurs Before Dark (Magic Tree House, No. 1)",4.7,"6,569",Paperback,"5 - 8 years, from customers",1 - 4,510L,80 pages,English,5.19 x 0.21 x 7.56 inches,Random House Books for Young Readers,"July 28, 1992",9780679824114,978-0679824114,Mary Pope Osborne,Sal Murdocca,Not known,https://m.media-amazon.com/images/I/51PSLKlvl6L._US218_.jpg,,
9781408855669,,"Harry Potter and the Chamber of Secrets, Book 2",4.8,"85,611",Paperback,"9+ years, from customers",Not known,Not known,374 pages,English,5.16 x 0.94 x 7.8 inches,Bloomsbury,"March 1, 2016",1408855666,978-1408855669,Rowling J.K.,Not known,Not known,https://m.media-amazon.com/images/I/51Q9uPHKhAL._US218_.jpg,,
9780593121962,,"Random House Books for Young Readers, The World Needs More Purple People (My Purple World)",4.8,"10,309",Hardcover,"3 - 6 years, from customers",Preschool - 2,AD520L,40 pages,English,10.38 x 0.44 x 10.31 inches,Random House Books for Young Readers,"June 2, 2020",593121961,978-0593121962,Kristen Bell,Benjamin Hart,Daniel Wiseman,https://m.media-amazon.com/images/I/51QmX7S38-L._US218_.jpg,,
9781338790238,,The Christmas Pig,4.7,"8,567",Hardcover,"7 - 10 years, from customers",3 - 6,850L,288 pages,English,6.2 x 1.2 x 9.2 inches,Scholastic Inc.,"October 12, 2021",1338790234,978-1338790238,J. K. Rowling,Jim Field,Not known,https://m.media-amazon.com/images/I/51rg5EDPpDL._US218_.jpg,,
9781406386424,,Julian Is A Mermaid,4.9,"4,288",Paperback,"2 - 6 years, from customers",Not known,Not known,40 pages,English,9.84 x 0.16 x 9.09 inches,WALKER BOOKS,"July 1, 2019",1406386421,978-1406386424,Love Jessica,Not known,Not known,https://m.media-amazon.com/images/I/51RUvNmmgWL._US218_.jpg,,
9780763642846,,Those Shoes,4.8,"2,271",Paperback,"3 - 8 years, from customers",Kindergarten - 3,AD550L,40 pages,English,10.25 x 0.16 x 9.81 inches,Candlewick,"June 9, 2009",763642843,978-0763642846,Maribeth Boelts,Noah Z. Jones,Not known,https://m.media-amazon.com/images/I/51SlfezbL6L._US218_.jpg,,
9780241346884,,Little Leaders Vision Women Around World,4.9,"2,450",Paperback,"2 - 9 years, from customers",Not known,Not known,Not known,English,7.4 x 0.28 x 8.78 inches,Puffin,Not known,241346886,978-0241346884,Vashti Harrison,Not known,Not known,https://m.media-amazon.com/images/I/51sv6XXCUtL._US218_.jpg,,
9780553274295,,Where the Red Fern Grows,4.8,"16,897",Mass Market Paperback,"9 - 12 years, from customers",3 - 7,700L,249 pages,English,4.19 x 0.68 x 7 inches,Laurel Leaf,"August 1, 1984",553274295,978-0553274295,Wilson Rawls,Not known,Not known,https://m.media-amazon.com/images/I/51Swo0Tx-AL._US218_.jpg,,
9780956932303,,The Secret Lake: A children's mystery adventure,4.6,"17,236",Paperback,"8 - 11 years, from customers",Not known,Not known,122 pages,English,5.25 x 0.31 x 8 inches,Not known,"August 4, 2011",956932304,978-0956932303,Karen Inglis,Not known,Not known,https://m.media-amazon.com/images/I/51t8G2UWPqL._US218_.jpg,,
9780525553366,,Hair Love,4.9,"17,968",Hardcover,"2 - 7 years, from customers",Preschool - 3,AD480L,32 pages,English,9.88 x 0.34 x 10.31 inches,Kokila,"May 14, 2019",525553363,978-0525553366,Matthew A. Cherry,Vashti Harrison,Not known,https://m.media-amazon.com/images/I/51tjnvwfLvL._US218_.jpg,,
9781849921596,,The Curious Incident of the Dog in the Night,4.2,"32,860",Paperback,Not known,Not known,Not known,Not known,English,5.08 x 0.67 x 7.8 inches,Random House Children's Books,"January 1, 2012",1849921598,978-1849921596,Mark Haddon,Not known,Not known,https://m.media-amazon.com/images/I/51TsTBTI6ZL._US218_.jpg,,
