isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,,Image 3
B09C1891ZD,A Hello!Lucky Book,My Grandpa Is Grand! (A Hello!Lucky Book),5,54,Kindle,"Baby - 3 years, from customers",Preschool and up,Not known,24 pages,English,Not known,Abrams Appleseed,"March 8, 2022",Not known,Not known,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/516wwB1jLfL._US218_.jpg,,
B09C18MNRL,A Hello!Lucky Book,Halloween Is a Treat! (A Hello!Lucky Book),4.9,19,Kindle,"Baby - 3 years, from customers",Preschool and up,Not known,Not known,English,Not known,Abrams Appleseed,"July 12, 2022",Not known,Not known,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51O2vIqZOaL._US218_.jpg,,
B09C18QGSS,A Hello!Lucky Book,My Grandma Is Great! (A Hello!Lucky Book),5,54,Kindle,"Baby - 3 years, from customers",Preschool and up,Not known,Not known,English,Not known,Abrams Appleseed,"March 8, 2022",Not known,Not known,Sabrina Moyle,Eunice Moyle,,https://m.media-amazon.com/images/I/51w0xLonldL._US218_.jpg,,
9780374301941,A Pout-Pout Fish Adventure,"The Pout-Pout Fish, Far, Far from Home (A Pout-Pout Fish Adventure)",4.8,637,Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.25 x 0.38 x 10.34 inches,"Farrar, Straus and Giroux (BYR)","April 4, 2017",374301948,9780374301941,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51sBLSZAyKL._US218_.jpg,https://m.media-amazon.com/images/I/51pyf3WpNIL._US218_.jpg,Not known._US218_.jpg
9780374304027,A Pout-Pout Fish Adventure,The Pout-Pout Fish and the Bully-Bully Shark (A Pout-Pout Fish Adventure),4.8,"1,124",Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.4 x 0.45 x 10.25 inches,"Farrar, Straus and Giroux (BYR)","September 5, 2017",374304025,9780374304027,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/61nQWm6R45L._US218_.jpg,,
9780374304034,A Pout-Pout Fish Adventure,The Pout-Pout Fish and the Can't-Sleep Blues (A Pout-Pout Fish Adventure),4.8,895,Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.35 x 0.45 x 10.3 inches,"Farrar, Straus and Giroux (BYR)","August 28, 2018",374304033,9780374304034,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51v2mEe2DML._US218_.jpg,https://m.media-amazon.com/images/I/41A6ExxsaXL._US218_.jpg,https://m.media-amazon.com/images/I/41VBT70GFeL._US218_.jpg
9780374307981,A Pout-Pout Fish Adventure,"The Pout-Pout Fish in the Big-Big Dark (A Pout-Pout Fish Adventure, 2)",4.7,"3,015",Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.32 x 0.38 x 10.38 inches,"Farrar, Straus and Giroux (BYR)","August 17, 2010",374307989,9780374307981,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51SyHHAZLuL._US218_.jpg,https://m.media-amazon.com/images/I/51UBVLQGJbL._US218_.jpg,Not known._US218_.jpg
9780374309343,A Pout-Pout Fish Adventure,"The Pout-Pout Fish Cleans Up the Ocean (A Pout-Pout Fish Adventure, 4)",4.8,480,Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.27 x 0.41 x 10.38 inches,"Farrar, Straus and Giroux (BYR)","June 4, 2019",374309345,9780374309343,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51cQQ3NcqGL._US218_.jpg,,
9780374309350,A Pout-Pout Fish Adventure,"The Pout-Pout Fish and the Mad, Mad Day (A Pout-Pout Fish Adventure)",4.8,388,Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.4 x 0.35 x 10.4 inches,"Farrar, Straus and Giroux (BYR)","May 11, 2021",374309353,9780374309350,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/61qRPe9xD3L._US218_.jpg,,
9780374355494,A Pout-Pout Fish Adventure,The Not Very Merry Pout-Pout Fish (A Pout-Pout Fish Adventure),4.7,"2,332",Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.45 x 0.55 x 10.3 inches,"Farrar, Straus and Giroux (BYR)","September 8, 2015",374355495,9780374355494,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/61UDlk4nP+L._US218_.jpg,https://m.media-amazon.com/images/I/61rWHhvryFL._US218_.jpg,https://m.media-amazon.com/images/I/31P+TZvzsGL._US218_.jpg
