isbn,name_y,max_age,min_age,name_x,rating,review_count,main_image,Special Category,category_1,category_2,category_n
9781419741982,Diary of a Wimpy Kid,8,7,The Getaway (Diary of a Wimpy Kid Book 12),4.7,"29,148",https://m.media-amazon.com/images/I/51rK1qn2VDL._US218_.jpg,Best Seller - Most Popular,,,
9781419741975,Diary of a Wimpy Kid,8,7,Double Down (Diary of a Wimpy Kid #11),4.7,"27,961",https://m.media-amazon.com/images/I/51+oSG2gzhL._US218_.jpg,Best Seller - Most Popular,,,
9781419766947,Diary of a Wimpy Kid,8,7,Diary of a Wimpy Kid: Book 18,4.6,"26,870",https://m.media-amazon.com/images/I/41tjvBJFeyL._US218_.jpg,Best Seller - Most Popular,,,
9781419741944,Diary of a Wimpy Kid,8,7,Hard Luck (Diary of a Wimpy Kid #8),4.6,"26,183",https://m.media-amazon.com/images/I/51oFXKuPVlL._US218_.jpg,Best Seller - Most Popular,,,
9781419749155,Diary of a Wimpy Kid,8,7,Big Shot Diary of a Wimpy Kid Book 16,4.8,"23,322",https://m.media-amazon.com/images/I/51U-z4zRa5L._US218_.jpg,Best Seller - Most Popular,,,
9781419705847,Diary of a Wimpy Kid,8,7,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",4.7,"20,366",https://m.media-amazon.com/images/I/51nApVju+7L._US218_.jpg,Best Seller - Most Popular,,,
9781338535624,Dog Man,8,7,Dog Man: Grime and Punishment: A Graphic Novel (Dog Man #9): From the Creator of Captain Underpants (9),4.9,"44,894",https://m.media-amazon.com/images/I/510zJtTY7oL._US218_.jpg,Best Seller - Most Popular,,,
9781338323214,Dog Man,8,7,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,"30,786",https://m.media-amazon.com/images/I/51TnbzizBpL._US218_.jpg,Best Seller - Most Popular,,,
9781338236590,Dog Man,8,7,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),4.9,"25,209",https://m.media-amazon.com/images/I/51rd+cbTvdL._US218_.jpg,Best Seller - Most Popular,,,
9781338680454,Dog Man,8,7,Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),4.9,"23,983",https://m.media-amazon.com/images/I/51ExcjLf-kL._US218_.jpg,Best Seller - Most Popular,,,
9781338741032,Dog Man,8,7,Dog Man: A Graphic Novel (Dog Man #1): From the Creator of Captain Underpants (1),4.8,"21,201",https://m.media-amazon.com/images/I/51Pte3eSAHL._US218_.jpg,Best Seller - Most Popular,,,
9781338741087,Dog Man,8,7,Dog Man: Brawl of the Wild: A Graphic Novel (Dog Man #6): From the Creator of Captain Underpants (6),4.8,"21,127",https://m.media-amazon.com/images/I/51nNQmC8adL._US218_.jpg,Best Seller - Most Popular,,,
9781338741049,Dog Man,8,7,Dog Man Unleashed: A Graphic Novel (Dog Man #2): From the Creator of Captain Underpants (2),4.8,"20,204",https://m.media-amazon.com/images/I/51BkFUM9azL._US218_.jpg,Best Seller - Most Popular,,,
9780061992254,The One and Only Ivan,8,7,The One and Only Ivan: A Newbery Award Winner,4.8,"25,893",https://m.media-amazon.com/images/I/41zbf4cDBTL._US218_.jpg,Best Seller - Most Popular,,,
9781939754660,Awesome STEAM Activities for Kids,9,8,"Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids) (February 13, 2018)",4.7,"15,047",https://m.media-amazon.com/images/I/51Kpl9LAEuL._US218_.jpg,Best Seller - Most Popular,,,
9780064404990,Chronicles of Narnia,9,8,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)",4.7,"18,204",https://m.media-amazon.com/images/I/51erHMLhIzL._US218_.jpg,Best Seller - Most Popular,,,
9781416980063,Dork Diaries,9,8,Dork Diaries 1: Tales from a Not-So-Fabulous Life (1),4.7,"10,573",https://m.media-amazon.com/images/I/51xrRc1K4BL._US218_.jpg,Best Seller - Most Popular,,,
9780142408810,Fudge Series,9,8,Tales of a Fourth Grade Nothing,4.7,"11,319",https://m.media-amazon.com/images/I/51kyHXlrYhL._US218_.jpg,Best Seller - Most Popular,,,
9780062377029,Pax,9,8,Pax,4.7,"12,222",https://m.media-amazon.com/images/I/51lcyURRVRS._US218_.jpg,Best Seller - Most Popular,,,
9781432864033,The One and Only Ivan,9,8,The One and Only Ivan,4.8,"25,893",https://m.media-amazon.com/images/I/41+vOZJ9bHL._US218_.jpg,Best Seller - Most Popular,,,
9780062991324,The One and Only Ivan,9,8,"The One and Only Bob (The One and Only Ivan, 2)",4.8,"11,068",https://m.media-amazon.com/images/I/411DaSS8l2L._US218_.jpg,Best Seller - Most Popular,,,
9781449494865,Trapped in a Video Game,9,8,Trapped in a Video Game (Volume 1),4.7,"13,325",https://m.media-amazon.com/images/I/51JenDEVWVL._US218_.jpg,Best Seller - Most Popular,,,
9780312367541,A Wrinkle in Time,10,9,A Wrinkle in Time (Time Quintet),4.4,"25,165",https://m.media-amazon.com/images/I/51JByNA2CZL._US218_.jpg,Best Seller - Most Popular,,,
9780440414803,Holes,10,9,Holes (Holes Series),4.7,"29,962",https://m.media-amazon.com/images/I/41D198rl3yL._US218_.jpg,Best Seller - Most Popular,,,
9780316206716,Middle School series,10,9,Middle School: Get Me Out of Here!,4.4,"10,048",https://m.media-amazon.com/images/I/51beEurAWYL._US218_.jpg,Best Seller - Most Popular,,,
9780956932303,Secret Lake Mystery Adventures,10,9,The Secret Lake: A children's mystery adventure,4.6,"17,181",https://m.media-amazon.com/images/I/51t8G2UWPqL._US218_.jpg,Best Seller - Most Popular,,,
9780062366962,Warriors: The Original,10,9,"Warriors #1: Into the Wild (Warriors: The Prophecies Begin, 1)",4.7,"9,448",https://m.media-amazon.com/images/I/51N2pd0DxzL._US218_.jpg,Best Seller - Most Popular,,,
9781338214437,Wings of Fire,10,9,The Lost Continent (Wings of Fire #11) (11),4.9,"10,850",https://m.media-amazon.com/images/I/515GdRpVxLL._US218_.jpg,Best Seller - Most Popular,,,
9781338214512,Wings of Fire,10,9,"The Poison Jungle (Wings of Fire, Book 13)",4.8,"9,786",https://m.media-amazon.com/images/I/51AthEAtWQL._US218_.jpg,Best Seller - Most Popular,,,
9781338214482,Wings of Fire,10,9,The Hive Queen (Wings of Fire) (12),4.9,"9,428",https://m.media-amazon.com/images/I/514j2y2DZ2L._US218_.jpg,Best Seller - Most Popular,,,
9781338214543,Wings of Fire,10,9,The Dangerous Gift (Wings of Fire #14) (14),4.9,"9,354",https://m.media-amazon.com/images/I/51mXQ1hv6DL._US218_.jpg,Best Seller - Most Popular,,,
9780544336261,Giver Quartret,11,10,"The Giver: A Newbery Award Winner (Giver Quartet, 1)",4.6,"38,605",https://m.media-amazon.com/images/I/51o9U2cGo4L._US218_.jpg,Best Seller - Most Popular,,,
9780439023481,Hunger Games,11,10,The Hunger Games,4.7,"79,473",https://m.media-amazon.com/images/I/414fBKKVniL._US218_.jpg,Best Seller - Most Popular,,,
9780439023511,Hunger Games,11,10,Mockingjay (the Final Book of the Hunger Games) (Hunger Games (Cloth)),4.6,"78,695",https://m.media-amazon.com/images/I/41X1tiRgCQL._US218_.jpg,Best Seller - Most Popular,,,
9780439023498,Hunger Games,11,10,Catching Fire (The Hunger Games),4.7,"63,732",https://m.media-amazon.com/images/I/410BikysxaL._US218_.jpg,Best Seller - Most Popular,,,
9781423163374,Magnus Chase and the Gods of Asgard,11,10,"Magnus Chase and the Gods of Asgard Book 1: Sword of Summer, The-Magnus Chase and the Gods of Asgard Book 1",4.6,"22,697",https://m.media-amazon.com/images/I/51boWDGyUBL._US218_.jpg,Best Seller - Most Popular,,,
9781368051477,Percy Jackson and the Olympians,11,10,"Percy Jackson and the Olympians, Book One: The Lightning Thief (Percy Jackson & the Olympians)",4.7,"47,711",https://m.media-amazon.com/images/I/51KGQNxotzL._US218_.jpg,Best Seller - Most Popular,,,
9781423103349,Percy Jackson and the Olympians,11,10,"The Sea of Monsters (Percy Jackson and the Olympians, Book 2)",4.7,"30,577",https://m.media-amazon.com/images/I/51gwckLZVEL._US218_.jpg,Best Seller - Most Popular,,,
9781423101505,Percy Jackson and the Olympians,11,10,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",4.8,"28,941",https://m.media-amazon.com/images/I/51Lrr+kMgwL._US218_.jpg,Best Seller - Most Popular,,,
9781423101482,Percy Jackson and the Olympians,11,10,"The Titan's Curse (Percy Jackson and the Olympians, Book 3)",4.7,"28,675",https://m.media-amazon.com/images/I/51sZJKZpQBL._US218_.jpg,Best Seller - Most Popular,,,
9781423101499,Percy Jackson and the Olympians,11,10,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",4.8,"28,208",https://m.media-amazon.com/images/I/51HoXHolqNL._US218_.jpg,Best Seller - Most Popular,,,
9781423146780,The Heroes of Olympus,11,10,"Heroes of Olympus, The, Book Five: Blood of Olympus, The-Heroes of Olympus, The, Book Five",4.8,"41,457",https://m.media-amazon.com/images/I/51M9OEqqT7L._US218_.jpg,Best Seller - Most Popular,,,
9781368051712,The Heroes of Olympus,11,10,"Heroes of Olympus, The, Book Four: House of Hades, The-(new cover) (The Heroes of Olympus)",4.8,"33,800",https://m.media-amazon.com/images/I/41m9ENztXlL._US218_.jpg,Best Seller - Most Popular,,,
