ISBN13,Image,Name,Rating,Reviews,Format,Series,Language,Price,Description
9781846162992,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8461/9781846162992.jpg,Ella Bella Ballerina and the Sleeping Beauty,3.94,(218 ratings by Goodreads),Paperback,432411,English,₹768.91,"Ella Bella longs to be a beautiful ballerina, and so each week she goes to Madame Rosa's ballet class at the old theatre. As we all know, theatres are magical places where anything can happen, and sure enough, as soon as Ella Bella opens Madame Rosa's magical musical box on the empty stage, she's whisked off in a beautiful lilac light to Sleeping Beauty's palace. But will she be able to help the Lilac Fairy save Sleeping Beauty from the bad fairy's wicked spell? show more"
9781481435857,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4814/9781481435857.jpg,"It's the Great Pumpkin, Charlie Brown",4.36,"(2,890 ratings by Goodreads)",Paperback,3842,English,₹738.89,"Spooky tricks and hilarious treats abound in this retelling of the beloved Halloween special that comes with holographic foil and embossing on the cover! Celebrate Halloween with Charlie Brown and the rest of the Peanuts gang! It's Halloween night, which means costumes, trick-or-treating, bobbing for apples...and waiting for the Great Pumpkin. Linus is certain that the Great Pumpkin will rise out of the pumpkin patch to bring toys to all the children of the world. Could this be the year that it finally happens? Find out in this stunning storybook with an embossed cover with holographic foil! (c) 2015 Peanuts Worldwide LLC show more"
9781405217880,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405217880.jpg,Follow the Swallow,3.77,(167 ratings by Goodreads),Paperback,239781,English,₹662.00,"Follow the Swallow is a delightful tale of friendship and exploration from Julia Donaldson, author of The Gruffalo and Room on the Broom, and illustrated by Pam Smy. Chack the blackbird and Apollo the swallow are fledgling friends. Apollo explains that he is practising flying to Africa - but Chack doesn't believe him. Chack tells Apollo that the blossom on his favourite tree will eventually turn into orange berries - Apollo doesn't believe him. But, with the inevitable turning of the seasons, both birds learn to believe the other - and cement their friendship forever. Follow the Swallow is a delightful storytime experience for children aged 2+. Perfect for kids who loved Night Monkey, Day Monkey and Spinderella. Julia Donaldson is the best-selling author of The Gruffalo, Stick Man, What the Ladybird Heard, and The Scarecrows' Wedding. She lives in Glasgow with her husband and spends a lot of time touring the country doing readings - and singing! Pam Smy's work has appeared in the anthology Magical Tales Of Ireland as well as numerous other compendiums and educational texts. Her best known work is The Hound of the Baskervilles. show more"
9780603574245,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6035/9780603574245.jpg,Little Miss Naughty and the Good Fairy,Not known,Not known,Paperback,-1,Not Known,₹430.19,Not available
9780603571916,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6035/9780603571916.jpg,Mr Muddle's Good Catch,Not known,Not known,Paperback,-1,Not Known,₹767.31,Not available
9781405288828,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405288828.jpg,Mr Impossible and the Easter Egg Hunt,4.33,(66 ratings by Goodreads),Paperback,737807,English,₹977.26,"Mr Impossible is organising an Easter egg hunt for all the Mr Men and Little Miss and he is hiding the eggs in the most impossible places ... Some are so high that only Mr Tall can find them and some so low and cleverly hidden that Mr Small will need to be called. But it is Mr Nobody who manages to find the most difficult egg of all - the invisible egg! Packed with Easter fun from beginning to end! Mr Men and Little Miss Celebrations introduce children to all the exciting occasions that people celebrate including birthdays, Christmas, Halloween, Easter, sporting events ... and even a trip to the moon. show more"
9780141382418,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141382418.jpg,Charlie and Lola: Whoops! But it Wasn't Me,4.03,(271 ratings by Goodreads),Hardback,-1,Charlie and Lola,"₹1,166.40","Charlie and Lola, first seen in I Will Not Ever NEVER Eat a Tomato, are now stars of the screen and page. First aired on prime time children's BBC in October 2005 and now available on DVD, Charlie and Lola are enjoying superstardom! Charlie has built a fabulous prize-winning rocket and has forbidden Lola to touch it. But when Lola finds herself with nothing to do, the temptation is just too great and she goes to get the rocket ... but knocks it on the floor, destroying it. When Charlie finds out he is distraught and wants to know who is to blame. Lola vehemently denies it until she realises the only way to win back Charlie's trust and respect is to own up, apologise and really mean it. show more"
9780747541936,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7475/9780747541936.jpg,The Selfish Crocodile,3.91,(576 ratings by Goodreads),Paperback,461130,English,"₹1,663.64","Every morning a very large and very snappy crocodile shouts this selfish message: 'Stay away from my river! It's MY river! If you come in my river, I'll eat you all!' The animals in the forest don't know what to do. They are frightened of the crocodile. Even the fish, tadpoles, frogs, crabs and crayfish stay out of the water. Until one day, the creatures are woken by a loud groaning sound which turns out to be the selfish crocodile in a lot of pain, and the smallest of them all, a little mouse, finds a way to solve their snappy dilemma! Astoundingly bright, bold illustrations bring to life all the wonderful creatures of the forest in a rainbow of colours. The Author: Faustin Charles is a renowned poet and story-teller. His collection of Afro-Caribbean rhymes was published to great success by Puffin. This is his first picture book text. ""Bloomsbury Children's Books"" are also publishing his first poetry collection in October 1998, establishing Faustin as a Bloomsbury author across the board. Faustin spends much time in schools and libraries story-telling, and is also Library Buyer for Enfield. He lives in North London. The Illustrator: Mike Terry is most well-known for his wonderful cover illustrations for Dick King-Smith, including ""The Hodgeheg"" and ""The Sheep-Pig"" (the basis for the successful film ""Babe""). This is his first picture book. Mike lives in Hythe, Kent. show more"
9780749717780,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7497/9780749717780.jpg,A Squash and a Squeeze,4.19,"(4,584 ratings by Goodreads)",Paperback,-1,Not Known,₹795.94,"In this illustrated rhyme, a little old lady thinks that her house is a squash and a squeeze, but with the help of a few farmyard animals and the advice of a wise old man she soon discovers that it's not as small as she thought. show more"
9781407115597,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407115597.jpg,Zog,4.3,"(3,497 ratings by Goodreads)",Paperback,1201167,English,₹604.28,"Zog is the keenest dragon in school. He's also the most accident-prone. Luckily, a mysterious little girl always comes by and patches up his bumps and bruises. But will she be able to help him with his toughest test: capturing a princess? This is a wonderfully funny new story from the creators of ""The Gruffalo"" and ""Stick Man"". show more"
