ISBN13,Role,Name
9781409597698,Illustrator,Federica Iossa
9781409551768,Author,Rob Lloyd Jones
9781409551768,Illustrator,Stefano Tognetti
9780141332277,Author,Lynley Dodd
9781406357783,Author,Mo Willems
9781783704231,Illustrated by,Anna Llenas
9780723247708,Author,Beatrix Potter
9780734411389,Author,Shaun Tan
9780887081774,Author,Eric Carle
9781406313208,Author,Martin Handford
9781409302193,Author,Andrea Pinnington
9780008124434,Author,Drew Daywalt
9780008124434,Illustrator,Oliver Jeffers
9781409597667,Author,Sam Taplin
9781409597667,Illustrator,Sean Longcroft
9780394800011,Author,Dr. Seuss
9781407170749,Author,Julia Donaldson
9781407170749,Illustrator,Axel Scheffler
9780241959565,Author,Eric Carle
9780749748937,Author,Julia Donaldson
9780749748937,Illustrator,Lucy Richards
9781409308645,Author,Peppa Pig
9780723264590,Author,Eric Hill
9780141332031,Author,Eric Carle
9780746056622,Author,Fiona Watt
9780746056622,Illustrator,Rachel Wells
9780486789644,Author,Marjorie Sarnat
9780007357383,Author,Richard Scarry
9780152057152,Author,Mem Fox
9780152057152,Illustrator,Tricia Tusa
9780744586909,Author,Matthew Reinhart
9780744586909,IllustratorAuthor,Robert Sabuda
9780007365548,Author,Dr. Seuss
9780141501598,Author,Eric Carle
9780734411365,Author,Shaun Tan
9780007553631,Author,Eric Litwin
9780007553631,IllustratorCreated by,James Dean
9781862308053,Author,Shirley Hughes
9780734411372,Author,Shaun Tan
9780448438108,Author,Eric Hill
9780723271307,Author,Peppa Pig
9781509804757,Author,Julia Donaldson
9781509804757,Illustrator,Axel Scheffler
9780307975867,Author,Dr. Seuss
9780723267034,Author,Beatrix Potter
9781509818273,Author,Julia Donaldson
9781509818273,IllustratorRead by,Imelda Staunton
9781509818273,Illustrator,Axel Scheffler
9781409516828,Author,Fiona Watt
9781409516828,Illustrator,Rachel Wells
9780395669532,Author,Alison Lester
9780763626310,Author,April Pulley Sayre
9780763626310,IllustratorAuthor,Jeff Sayre
9780763626310,Illustrator,Randy Cecil
