isbn,name,image,rating,review_count,min_age,max_age,language,categories,price,order,type,author,Description
1801310904,"Anisha, Accidental Detective: Holiday Adventure",https://m.media-amazon.com/images/I/51r8qbdWcRL._SY300_.jpg,4.8 out of 5 stars,29,8,12,English,"Anisha, Accidental Detective",296.6,5,Paperback,Serena Patel,"Winner of The Week Junior Book Awards Children's Book of the Year: Younger FictionThe Mistrys are off on holiday, in the fifth hilarious mystery in the award-winning Anisha, Accidental Detective series!Pack your bags - we're off to a holiday camp! Milo can't wait to see the wildlife, Manny's learning survival skills, and even Granny's going to have a go at archery. Honestly, I just want to read my book, but there's NEVER any time to relax for Anisha, Accidental Detective. The holiday park's mascot, Delilah the duck, has been DESTROYED, and my new friend Cleo is everyone's number one suspect. But I'm sure she's innocent, and I'm going to do whatever it takes to prove it. Let's hope we can find the real culprit, and QUACK the case!!Praise for the Anisha, Accidental Detective series:Winner of the Sainsbury's Children's Book Prize and of the Crimefest Best Crime Novel for ChildrenShortlisted for the Blue Peter Book Award, the British Book Awards Children's Book of the Year, and the Laugh Out Loud Book Award""DELIGHTFUL! Perfect for younger detectives - so funny and clever and sweet"" Robin Stevens, author of the Murder Most Unladylike series""An absolute joy"" Jennifer Killick, author of Crater Lake""Super funny and packed with lovable characters"" Swapna Haddow, author of Dave Pigeon"
141339098,Artemis Fowl (Book 1) [Paperback] Eoin Colfer,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51+yuk2qIIL._SY300_.jpg,4.5 out of 5 stars,"7,909",8,12,English,Artemis Fowl,285,1,Paperback,Eoin Colfer,"Rumour has it Artemis Fowl is responsible for every major crime of the new century. Just twelve years old and already he's a criminal genius, plotting to restore his family's fortune with a spot of corruption and kidnapping. Kidnapping a fairy for ransom, to be precise."
141339101,"Artemis Fowl and The Arctic Incident (Book 2) (Artemis Fowl, 18) [Paperback] Eoin Colfer [Paperback] Eoin Colfer",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51fIw2w+aGL._SY300_.jpg,4.7 out of 5 stars,"4,037",8,12,English,Artemis Fowl,267,2,Paperback,Eoin Colfer,"Criminal Mastermind Artemis Fowl never stops scheming... Artemis' father has been missing for almost two years. His location? The Arctic Circle, where the Russian Mafiya are holding him prisoner. Now Artemis must execute a daring rescue operation to get his father back. But that's not his only problem."
014133911X,Artemis Fowl (3) & Eternity Code (REI) [Paperback] Eoin Colfer,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51cgu8KmAQL._SY300_.jpg,4.7 out of 5 stars,"2,984",8,12,English,Artemis Fowl,306,3,Paperback,Eoin Colfer,"Artemis Fowl has created the most powerful new supercomputer known to man - using stolen technology from an elite race of underground fairies. And when the computer falls into the hands of an IT billionaire with a shady past and an alleged mob connection, Artemis is in deep trouble. The consequences for humans and fairies alike are deadly."
141339136,Artemis Fowl (4) & Opal Deception (REI) [Paperback] Eoin Colfer,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51a+MYUSvBL._SY300_.jpg,4.7 out of 5 stars,"3,077",8,12,English,Artemis Fowl,272,4,Paperback,Eoin Colfer,Arch-Criminal Artemis Fowl's mind has been wiped. Now someone wants him dead. Artemis Fowl is the only boy ever to have discovered an armed and dangerous fairy race living below ground. He just can't remember any of it.
141339144,Artemis Fowl And The Lost Colony [Paperback] Eoin Colfer,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51Yd75rwkTL._SY300_.jpg,4.7 out of 5 stars,"2,885",8,12,English,Artemis Fowl,289,5,Paperback,Eoin Colfer,"Artemis Fowl And The Lost Colony is the fifth instalment in the riveting Artemis Fowl series. It continues with the adventures of the teenaged genius Artemis Fowl.Till now, the fairies' existence was only a matter of Artemis' knowledge but, this time around, it's a different game altogether. A 12-year old female genius is on the mission of capturing a demon for her own scientific experiments. However, she does not have any idea of the hell that her mission is going to let loose on Earth.The demons are the sore enemies of humans. The only way to prevent the massacre is for Artemis to stop an ancient spell that is going to unleash the demons on the humans. If he fails, it will result in the mass destruction of the human beings at the hands of the blood-thirsty demons.Artemis Fowl And The Lost Colony, just like its prequels, is filled with thrills, adventure and twists in the plot. It was published by Penguin UK in a re-issue edition in 2011 and it is available in paperback.Key Features:The book received a lot of positive reviews from critics, including The Times.The relationship between Artemis and Holly, the female rival of Artemis, is one of the highlights of the book."
141339128,"Artemis Fowl and The Time Paradox (Book 6) (Artemis Fowl, 22) [Paperback] Eoin Colfer",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51QPfZguxiL._SY300_.jpg,4.7 out of 5 stars,"2,715",8,12,English,Artemis Fowl,272,6,Paperback,Eoin Colfer,"Artemis Fowl is no stranger to trouble. In fact he's a magnet for it. Man-eating trolls, armed and dangerous (not to mention high-tech) fairies, flame-throwing goblins - he's seen the lot. He had decided to forego criminal activity of the more magical kind. However... Now his mother is gravely ill."
141328037,"Artemis Fowl And The Atlantis Complex (Artemis Fowl, 23) [Paperback] Eoin Colfer",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51LEC++EBDL._SY300_.jpg,4.7 out of 5 stars,"2,987",8,12,English,Artemis Fowl,295,7,Paperback,Eoin Colfer,"The seventh book from the Artemis Fowl series, Artemis Fowl And The Atlantis Complex, starts off with Artemis calling Captain Holly Short, Foaly and Wing Commander Vinyaya over for a meeting. Artemis invites them to an isolated place in Iceland. He claims to have invented the Ice Cube, with which he can stop global warming. They arrive to find Artemis behaving strangely and later discover that he is affected by the Atlantis Complex.The Atlantis Complex is a mental disorder where the person experiences symptoms like hallucinations, difficulty in concentration, anxiety, depression and so on. At the same time, they also find out that the city of Atlantis is under attack by a deadly foe from Holly's past. But Artemis can be of no help to them because of his condition. They have to try and cure him before they can even think of fighting their powerful enemies.Artemis Fowl And The Atlantis Complex, written by Eoin Colfer, was published by Penguin UK in 2011. It is available in paperback format.Key Features:Artemis Fowl And The Atlantis Complex is the seventh book in the highly popular Artemis Fowl series.This novel is the penultimate book in the Artemis Fowl series. The eighth and final book, The Last Guardian, was released in 2012.Artemis Fowl And The Atlantis Complex was reviewed as 'Fast, funny and very exciting' by the Daily Mail."
141340762,"Artemis Fowl and The Last Guardian (Book 8) (Artemis Fowl, 24) [Paperback] Eoin Colfer",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/512SHOF1RXL._SY300_.jpg,4.8 out of 5 stars,"4,086",8,12,English,Artemis Fowl,294,8,Paperback,Eoin Colfer,"Is this Armageddon for Artemis fowl? Opal Koboi, power-crazed pixie, is plotting to exterminate mankind and become fairy queen. If she succeeds, the spirits of long-dead fairy warriors will rise from the earth, inhabit the nearest available bodies and wreak mass destruction."
1474972144,The Haunting of Aveline Jones,https://m.media-amazon.com/images/I/51sifUA8AwL._SY300_.jpg,4.7 out of 5 stars,732,8,12,English,Aveline Jones,359,1,Paperback,Phil Hickes,"Turn on your torches and join Aveline Jones! Aveline loves reading ghost stories, so a dreary half-term becomes much more exciting when she discovers a spooky old book. Not only are the stories spine-tingling, but it belonged to a girl called Primrose Penberthy, who vanished mysteriously, never to be seen again. Intrigued, Aveline decides to investigate Primrose's disappearance, with some help from her new friend, Harold. Now someone...or something, is stirring. And it is looking for Aveline. The first in a deliciously spine-tingling, spooky new series, where mysteries are always solved, spirits are always laid to rest, and everybody gets to bed on time. Perfect for adventurers aged 9+ and fans of Michelle Harrison, Piers Torday and Jamie Littler."
