id,guid,name,image,isbn,rating,review_count,book_format,language,price,description,stock_available,amazon_bestseller,bestseller_age1,bestseller_age2,bestseller_age3,bestseller_age4,bestseller_age5,bestseller_age6,most_borrowed,borrowed_age1,borrowed_age2,borrowed_age3,borrowed_age4,borrowed_age5,borrowed_age6,suggestion_age1,suggestion_age2,suggestion_age3,suggestion_age4,suggestion_age5,suggestion_age6,tag1,series_id,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,age_group_6
21,,"""Captain Underpants"" and the Attack of the Talking Toilets and CD",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407104942.jpg,9781407104942,4.08,"47,804",Mixed media product,English,"₹ 1,484.24","In their second pant-tastic adventure, George and Harold accidentally create a whole army of evil, vicious talking toilets intent on taking over the world!!! This is definitely a job for the world's only super-hero with Wedgie Power.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
22,,"Big, Bad Battle of the Bionic Booger Boy Part Two:The Revenge of the Ridiculous Robo-Boogers",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4399/9780439977722.jpg,9780439977722,4.22,"15,126",Paperback,English,₹ 720.84,"Just when George and Harold thought they were safe - here come the robo-boogers! Disgusting and dangerous crosses between hi-tech wizardry and, well . snot, they're out to take over the world. Have your hankies ready!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
23,,Captain Underpants and the Attack of the Talking Toilets,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4399/9780439995443.jpg,9780439995443,4.08,"47,897",Paperback,English,₹ 491.06,"Not so long ago, George and Harold created the greatest super-hero in the history of their school - and brought him to life by mistake! Meet Captain Underpants! His true identity is so secret, even he doesn't know who he is! But that was only the start! Now the boys have accidently created a whole army of evil, vicious talking toilets intent on taking over the world!!!! This is DEFINITELy a job for the world's ONLY super-hero with WEDGIE POWER!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
24,,Captain Underpants and the Attack of the Talking Toilets (Captain Underpants #2 Collector's Edition),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5450/9780545027274.jpg,9780545027274,4.08,"48,365",Hardback,English,"₹ 1,484.24","This special Collectors' Edition of the second book in the Captain Underpants features a lenticular paper-over-board cover and a top-secret bound-in component for just $9.99. When Dav Pilkey began drawing pictures of an underwear-clad, wedgie-giving superhero as a second grader, his teacher said, ""You'd better start taking life more seriously, because you can't spend the rest of your days making silly books!"" Luckily for us, Dav didn't listen, and Captain Underpants was born. Now, kids everywhere can enjoy this special edition of the second book in the series--with an awesome lenticular cover and a super-cool value-added component that's so amazing, so fun, and so top-secret that you'll just have to buy it to find out!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
25,,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space (and the Subsequent Assault of the Equally Evil Lunchroom Zombie Nerds) (Captain Underpants #3),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4390/9780439049962.jpg,9780439049962,4.2,"17,550",Paperback,English,"₹ 1,387.90","Laugh out loud with Captain Underpants, the #1 New York Times bestselling series from Dav Pilkey, the creator of Dog Man! George and Harold have played a trick or two on nearly everyone at Jerome Horwitz Elementary. When their latest prank causes the school's cranky cafeteria ladies to quit, Mr. Krupp hires a trio of unusual replacements -- who happen to look an awful lot like aliens! Will that curtain-caped crusader, Captain Underpants, save the day once more? Or will those outer-space cafeteria ladies have him for lunch?",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
26,,CAPTAIN UNDERPANTS AND THE PERILOUS PLOT OF PROFESSOR POOPYPANTS,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4390/9780439049986.jpg,9780439049986,4.23,"19,270",Paperback,English,"₹ 1,401.11","Laugh out loud with Captain Underpants, the #1 New York Times bestselling series from Dav Pilkey, the creator of Dog Man! George and Harold are fourth-grade buddies with a penchant for practical jokes. When the boys' latest prank drives their science teacher over the edge, their clueless principal, Mr. Krupp, quickly hires a replacement: Professor Pippy P. Poopypants. Of course, George and Harold can't resist making fun of the Professor's silly name. But then the Professor retaliates by forcing everyone in town to change their own names to be equally silly, with colossal consequences!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
27,,Captain Underpants and the Preposterous Plight of the Purple Potty People,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4399/9780439951340.jpg,9780439951340,4.24,"11,028",Hardback,English,"₹ 1,534.15","The wait is over. Dav Pilkey's beloved Captain Underpants returns to face his nemesis - the evil Captain Blunderpants - with the help of two new superheroes, Great-Granny Girdle and Boxer Boy.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
28,,Captain Underpants and the Revolting Revenge of the Radioactive Robo-boxers,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407134673.jpg,9781407134673,4.35,"7,581",Hardback,English,"₹ 1,791.72","CAPTAIN UNDERPANTS returns! When we last saw our heroes, George and Harold, they had been turned into evil zombie nerds doomed to roam a devastated, post-apocalyptic planet for all eternity. But why, you might ask, didn't the amazing Captain Underpants save the boys from this frightening fate? Because Tippy Tinkletrousers and his time-travelling hijinks prevented George and Harold from creating Captain Underpants in the first place! Now, having changed the course of human history for ever, they'll have to figure out a way to CHANGE IT BACK. Could this be the end for Captain Underpants?!!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
29,,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407132747.jpg,9781407132747,4.33,"6,326",Hardback,English,"₹ 1,860.04","CAPTAIN UNDERPANTS returns! In their ninth epic adventure, George and Harold encounter a familiar face - Professor Poopypants! H now goes by the name Tippy Tinkletrousers and is determined to seek revenge for all of the teasing his old name inspired. Armed with his laser-shooting Freezy-Beam 4000, Tippy Tinkletrousers is ready to zap anyone who stands in his way. Now it's up to George, Harold, and the amazing Captain Underpants to stop Tippy Tinkletrousers' reign of terror before it's too late!",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
30,,The Advenures of Captain Underpants,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4390/9780439014571.jpg,9780439014571,3.99,"47,946",Paperback,English,₹ 472.87,"Laugh out loud with Captain Underpants, from Dav Pilkey, the creator of Dog Man! When naughty George and Harold hypnotise their headteacher, they accidentally create the greatest superhero in the history of their school -- Captain Underpants! His true identity is so secret that even HE doesn't know who he is... but he's fighting for truth, justice, and all things pre-shrunk and cottony!! If you're a naughty villain like the diabolical Dr Diaper, watch out! Captain Underpants has wedgie-power on his side, and he's coming your way. ABOUT THE SERIES Captain Underpants is now a feature-length animated film from DreamWorks & a series on NETFLIX The original Captain Underpants books are fully illustrated with black and white comic book drawings The books are also available in full-colour graphic novels Perfect for all children, but especially for those who are struggling to engage with reading Full of fun and laughs (and toilet humour)",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
31,,Three More Wedgie-powered Adventures in One,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4399/9780439950435.jpg,9780439950435,4.28,57,Paperback,English,"₹ 1,565.10","This is one bumper book with three times the wedgie power! This is a bind-up of three best-selling titles featuring everyone's favourite super-hero, including: ""Captain Underpants and the Perilous Plot of Professor Poopypants""; ""Captain Underpants and the Wrath of the Wicked Wedgie Woman""; ""Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1"".",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
32,,Captain Underpants and the Wrath of the Wicked Wedgie Woman,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4390/9780439050005.jpg,9780439050005,4.19,"13,715",Paperback,English,"₹ 1,434.13","Laugh out loud with Captain Underpants, the #1 New York Times bestselling series from Dav Pilkey, the creator of Dog Man! George and Harold are always good at using their imaginations, and that drives their mean homeroom teacher, Ms. Ribble, crazy! But this time, they've come up with much more than a silly prank -- they've accidentally created a MONSTER! With her horrendous hairdo and two rabid robots, Wedgie Woman is well on her way to world domination, and only the Waistband Warrior can stop her!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
33,,Captain Underpants: All New Extra-Crunchy Book o' Fun 2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4393/9780439376082.jpg,9780439376082,4.15,"1,324",Paperback,English,₹ 536.32,"You'll laugh! You'll cry! You'll wet your pants with joy when you join George and Harold for more fun 'n' games with the amazing Captain Underpants and the world's smallest superhero, Super Diaper Baby. Learn how to draw your favorite characters, tell cheesy jokes, and even make your own silly Captain Underpants story. Best of all, this book includes a brand-new comic-book adventure starring Captain Underpants, Super Diaper Baby, and the amazing Diaper Dog!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Underpants,62104,0,0,0,1,1,1
