id,guid,name_x,image,isbn,rating,review_count,book_order,min_age_x,max_age_x,price,for_age,grade_level,lexile_measure,pages,dimensions,publisher,publication_date,language,id_x,guid_x,name_y,category_order,min_age_y,max_age_y,id_y,guid_y,category_id,book_id,section_id
2080,81a59b93-8de0-4667-8e0b-dca45251512f,"Christmas (My First Touch and Find, 10) (17 October, 2019)",https://m.media-amazon.com/images/I/51PaW9toMBL._AC_US218_..jpg,9781529012880,4.8,15,11,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1612,db7f7817-bf36-4d26-a60a-a109c5cdf4a3,131,2080,1
2081,00705840-8ffc-4db4-b656-8a46d3025277,"London (My First Touch and Find, 5) (6 September, 2018)",https://m.media-amazon.com/images/I/51NH5f09WQL._AC_US218_..jpg,9781509883684,4.7,115,1,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1613,89d4fb75-e83c-4573-b3ef-d9e09beb4588,131,2081,1
2082,b3731d3e-5ff6-49eb-b38f-c320ebd79fe8,"Halloween: Touch and Find (My First Touch and Find, 13) (3 September, 2020)",https://m.media-amazon.com/images/I/51HHC3DfwXL._AC_US218_..jpg,9781529025347,4.7,66,4,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1614,d9514050-3b0c-4e0d-8d52-6ed9a7367ac9,131,2082,1
2083,39f1389d-ca8f-4384-8430-442bc437b8db,"Beach (My First Touch and Find, 8) (30 May, 2019)",https://m.media-amazon.com/images/I/514Op0sxHLL._AC_US218_..jpg,9781529002850,4.7,55,5,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1615,f4edb340-6b1f-40f8-8237-254e674c9577,131,2083,1
2084,46bf0d3c-6362-438a-836c-5ce7d2db13b7,"Farm (My First Touch and Find, 1) (19 April, 2018)",https://m.media-amazon.com/images/I/51vdFkVoMPL._AC_US218_..jpg,9781509852536,4.7,35,7,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1616,5f8b5dd6-51a0-4fc9-9fe9-8cc9751714f5,131,2084,1
2085,df904fe1-581e-40d3-99f1-26ce62e60bab,"Jungle (My First Touch and Find, 6) (21 March, 2019)",https://m.media-amazon.com/images/I/51NI8+GOM6L._AC_US218_..jpg,9781529002836,4.7,23,10,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1617,692f64b8-8f9d-44e0-8746-101724d893bc,131,2085,1
2086,b6c2cc37-ad38-410c-9a03-a5b02bf67704,"Baby Animals (My First Touch and Find, 11) (19 March, 2020)",https://m.media-amazon.com/images/I/51rbGKgxtbL._AC_US218_..jpg,9781529016642,4.6,39,6,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1618,a177c370-be4c-450d-8720-a10b07b1b4c9,131,2086,1
2087,4ffa4680-881f-4c7a-96fe-cf9e047317a1,"Sea (My First Touch and Find) (12 July, 2018)",https://m.media-amazon.com/images/I/51MzSxyIEWL._AC_US218_..jpg,9781509852574,4.5,70,2,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1619,9e93e80e-0ea0-4871-8476-744f49c1dbe9,131,2087,1
2088,bd48a1ad-1b48-4f88-9de2-6caad09e2e0f,"Zoo (My First Touch and Find) (12 July, 2018)",https://m.media-amazon.com/images/I/51LBang+5PL._AC_US218_..jpg,9781509852581,4.5,66,3,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1620,6131cd65-fa7a-4860-be55-efe01870fd13,131,2088,1
2089,64501c48-bd7c-472f-b069-89c393fba597,"Emergency (My First Touch and Find, 12) (19 March, 2020)",https://m.media-amazon.com/images/I/51QxEpiG-3L._AC_US218_..jpg,9781529016680,4.4,13,12,0,2,,,,,,,,,,131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2,1621,28bc76cd-7399-41cc-b77f-341c6f4bb1a5,131,2089,1
2103,5b0134d6-fb1c-45b8-b26a-c801909b438c,Oh Dear!,https://m.media-amazon.com/images/I/71ltuz2zFuL._AC_US218_..jpg,9781509870325,4.5,3260,1,1,3,383.0,,,,,7.05 x 0.79 x 6.93 inches,Macmillan Children's Books,,English,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1635,7bc44b8d-2c34-408d-96a9-520e174bd93f,133,2103,1
2090,5e9373ac-2a2e-4758-a0de-61a0bec5d149,The Pout-Pout Fish,https://m.media-amazon.com/images/I/51xgSUNCDrL._AC_US218_..jpg,9780545155625,4.9,24264,1,0,3,,1 - 3 years,,,32.0,,Scholastic,,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1622,10c08736-307e-48d3-b323-87ae235ae2e4,132,2090,1
2090,5e9373ac-2a2e-4758-a0de-61a0bec5d149,The Pout-Pout Fish,https://m.media-amazon.com/images/I/51xgSUNCDrL._AC_US218_..jpg,9780545155625,4.9,24264,1,0,3,,1 - 3 years,,,32.0,,Scholastic,,English,258,7a39ffdd-00b1-44f3-9cd9-b86078997572,Most Loved - Globally ,4,0,2,3240,219335fc-daeb-404d-9f28-8531ea7b2339,258,2090,2
2097,4d9a0c34-707b-4b26-84a4-cac818e5213d,The Not Very Merry Pout-Pout Fish (A Pout-Pout Fish Adventure),https://m.media-amazon.com/images/I/61bvk0SpTLL._AC_US218_..jpg,9780374355494,4.7,2281,3,0,3,,1 - 3 years,Preschool - 1,AD630L,37.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1629,8ddcbe0c-ac7d-40e1-8087-a2554f9952d8,132,2097,1
